Synopsys PE Ratio Historical Data,Synopsys PE Ratio Historical Data,Synopsys PE Ratio Historical Data,Synopsys PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,587.4,,80.25
2024-04-30,530.59,$7.32,72.48
2024-01-31,533.35,$9.08,58.74
2023-10-31,469.44,$7.94,59.12
2023-07-31,451.8,$6.67,67.74
2023-04-30,371.32,$5.93,62.62
2023-01-31,353.75,$6.06,58.37
2022-10-31,292.55,$6.30,46.44
2022-07-31,367.5,$6.59,55.77
2022-04-30,286.79,$6.43,44.6
2022-01-31,310.5,$5.78,53.72
2021-10-31,333.18,$4.82,69.12
2021-07-31,287.99,$4.80,60.0
2021-04-30,247.06,$5.15,47.97
2021-01-31,255.45,$4.62,55.29
2020-10-31,213.86,$4.63,46.19
2020-07-31,199.22,$4.02,49.56
2020-04-30,157.12,$3.17,49.56
2019-10-31,135.75,$3.47,39.12
2019-07-31,132.76,$4.09,32.46
2019-04-30,121.08,$4.11,29.46
2019-01-31,93.35,$3.86,24.18
2018-10-31,89.53,$3.52,25.43
2020-01-31,147.51,$1.84,80.17
2018-07-31,89.43,$0.37,241.7
2018-04-30,85.51,$0.60,142.52
2018-01-31,92.61,$0.27,343.0
2017-10-31,86.52,$0.85,101.79
2017-07-31,76.57,$2.12,36.12
2017-04-30,73.7,$1.79,41.17
2017-01-31,62.89,$1.90,33.1
2016-10-31,59.31,$1.73,34.28
2016-07-31,54.16,$1.57,34.5
2016-04-30,47.52,$1.50,31.68
2016-01-31,42.9,$1.40,30.64
2015-10-31,49.98,$1.42,35.2
2015-07-31,50.84,$1.50,33.89
2015-04-30,46.88,$1.57,29.86
2015-01-31,42.99,$1.62,26.54
2014-10-31,40.98,$1.64,24.99
2014-07-31,37.77,$1.61,23.46
2014-04-30,37.62,$1.52,24.75
2014-01-31,39.86,$1.56,25.55
2013-10-31,36.42,$1.58,23.05
2013-07-31,37.04,$1.41,26.27
2013-04-30,35.57,$1.58,22.51
2013-01-31,33.44,$1.28,26.13
2012-10-31,32.2,$1.22,26.39
2012-07-31,30.29,$1.30,23.3
2012-04-30,30.01,$1.15,26.1
2012-01-31,29.17,$1.54,18.94
2011-10-31,26.81,$1.46,18.36
2011-07-31,23.97,$1.36,17.63
2011-04-30,27.39,$1.27,21.57
2011-01-31,27.13,$1.00,27.13
2010-10-31,25.58,$1.57,16.29
2010-07-31,21.84,$1.53,14.27
2010-04-30,22.66,$1.59,14.25
2010-01-31,21.27,$1.66,12.81
2009-10-31,22.02,$1.15,19.15
