Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data,Pacific Gas & Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,18.46,,16.48
2024-03-31,16.76,$1.12,14.96
2023-12-31,18.02,$1.02,17.67
2023-09-30,16.11,$0.80,20.14
2023-06-30,17.26,$0.81,21.31
2022-12-31,16.24,$0.84,19.33
2022-09-30,12.49,$0.82,15.23
2022-06-30,9.97,$0.88,11.33
2022-03-31,11.93,$0.16,74.54
2021-12-31,12.13,$0.12,101.05
2023-03-31,16.15,$-0.04,0.0
2021-09-30,9.59,$-0.22,0.0
2021-06-30,10.16,$0.37,27.45
2021-03-31,11.7,$-3.54,0.0
2020-12-31,12.45,$-3.03,0.0
2020-09-30,9.38,$-9.96,0.0
2020-06-30,8.86,$-13.06,0.0
2020-03-31,8.98,$-14.16,0.0
2019-12-31,10.86,$-14.48,0.0
2019-09-30,9.99,$-20.88,0.0
2019-06-30,22.89,$-16.73,0.0
2019-03-31,17.78,$-13.81,0.0
2018-12-31,23.72,$-13.20,0.0
2018-09-30,45.96,$0.26,176.76
2018-06-30,42.51,$0.24,177.13
2018-03-31,43.88,$2.94,14.93
2017-12-31,44.78,$3.21,13.95
2017-09-30,68.01,$4.35,15.63
2017-06-30,65.78,$4.05,16.24
2017-03-31,65.25,$3.67,17.78
2016-12-31,59.32,$2.76,21.49
2016-09-30,59.22,$1.67,35.46
2016-06-30,61.4,$1.53,40.13
2016-03-31,56.92,$1.95,29.19
2015-12-31,50.31,$2.00,25.16
2015-09-30,49.52,$3.44,14.4
2015-06-30,45.65,$3.38,13.51
2014-12-31,48.63,$3.04,16.0
2014-09-30,40.8,$2.96,13.78
2014-06-30,43.06,$1.61,26.74
2014-03-31,38.37,$1.78,21.55
2013-12-31,35.4,$1.84,19.24
2013-09-30,35.56,$1.62,21.95
2013-06-30,39.31,$2.10,18.72
2013-03-31,37.89,$1.91,19.84
2012-12-31,33.84,$1.92,17.62
2012-09-30,35.53,$2.15,16.53
2012-06-30,37.3,$1.81,20.61
2012-03-31,35.4,$2.17,16.32
2011-12-31,33.27,$2.11,15.77
2011-09-30,33.76,$2.54,13.29
2011-06-30,33.19,$2.70,12.29
2011-03-31,34.51,$2.65,13.02
2010-12-31,36.98,$2.82,13.11
2010-09-30,34.78,$2.90,11.99
2010-06-30,31.16,$3.07,10.15
2010-03-31,31.82,$3.23,9.85
2009-12-31,33.14,$3.21,10.32
2009-09-30,29.78,$2.56,11.63
