Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data,Ford Motor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,12.16,,12.54
2024-03-31,13.12,$0.97,13.52
2023-12-31,11.73,$1.08,10.86
2023-09-30,11.77,$1.53,7.69
2023-06-30,14.19,$1.02,13.91
2023-03-31,11.67,$0.71,16.43
2022-12-31,10.13,$-0.51,0.0
2022-09-30,9.65,$2.20,4.39
2022-06-30,9.5,$2.86,3.32
2022-03-31,14.34,$2.84,5.05
2021-12-31,17.53,$4.43,3.96
2021-09-30,11.89,$0.70,16.98
2021-06-30,12.48,$0.85,14.68
2021-03-31,10.29,$0.99,10.39
2020-12-31,7.38,$-0.32,0.0
2020-09-30,5.59,$-0.04,0.0
2020-06-30,5.1,$-0.53,0.0
2020-03-31,4.06,$-0.77,0.0
2019-12-31,7.68,$0.02,383.91
2019-09-30,7.44,$0.41,18.14
2019-06-30,8.19,$0.55,14.88
2019-03-31,6.92,$0.78,8.87
2018-12-31,5.92,$0.92,6.44
2018-09-30,7.04,$1.55,4.54
2018-06-30,8.3,$1.69,4.91
2018-03-31,8.2,$1.93,4.25
2017-12-31,9.02,$1.90,4.75
2017-09-30,8.53,$1.10,7.76
2017-06-30,7.88,$0.95,8.29
2017-03-31,8.09,$0.93,8.69
2016-12-31,8.29,$1.14,7.27
2016-09-30,8.15,$1.81,4.5
2016-06-30,8.39,$2.05,4.09
2016-03-31,8.92,$1.79,4.98
2015-12-31,9.0,$1.19,7.57
2015-09-30,8.59,$0.93,9.23
2015-03-31,10.02,$0.77,13.01
2014-12-31,9.52,$0.78,12.21
2014-09-30,9.0,$1.51,5.96
2014-06-30,10.42,$1.61,6.47
2014-03-31,9.36,$1.59,5.89
2013-12-31,9.18,$1.75,5.25
2013-09-30,9.98,$1.41,7.08
2013-06-30,9.1,$1.51,6.03
2013-03-31,7.68,$1.47,5.22
2012-12-31,7.5,$1.42,5.29
2012-09-30,5.69,$4.42,1.29
2012-06-30,5.5,$4.42,1.25
2012-03-31,7.13,$4.75,1.5
2011-12-31,6.12,$5.01,1.22
2011-09-30,5.5,$1.66,3.31
2011-06-30,7.85,$1.68,4.67
2011-03-31,8.48,$1.70,4.99
2010-12-31,9.55,$1.59,6.01
2010-09-30,6.96,$1.79,3.89
2010-06-30,5.74,$1.65,3.48
2010-03-31,7.15,$1.73,4.13
2009-12-31,5.69,$0.63,9.03
2009-09-30,4.1,$0.85,4.83
