Tapestry PE Ratio Historical Data,Tapestry PE Ratio Historical Data,Tapestry PE Ratio Historical Data,Tapestry PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,42.3,,11.19
2024-03-31,47.48,$3.78,12.56
2023-12-31,36.54,$3.96,9.23
2023-09-30,28.24,$3.93,7.19
2023-06-30,41.58,$3.88,10.72
2023-03-31,41.59,$3.68,11.3
2022-12-31,36.47,$3.36,10.86
2022-09-30,27.01,$3.15,8.58
2022-06-30,28.75,$3.16,9.1
2022-03-31,34.75,$3.10,11.21
2021-12-31,37.74,$2.96,12.75
2021-09-30,34.2,$2.92,11.71
2021-06-30,39.92,$2.95,13.53
2021-03-31,37.84,$1.20,31.53
2020-12-31,28.54,$-1.57,0.0
2020-09-30,14.35,$-1.60,0.0
2020-06-30,12.19,$-2.36,0.0
2020-03-31,11.89,$-0.79,0.0
2019-12-31,24.39,$2.06,11.84
2019-09-30,23.25,$1.86,12.5
2019-06-30,27.91,$2.21,12.63
2019-03-31,28.26,$2.43,11.63
2018-12-31,29.07,$2.51,11.58
2018-09-30,42.91,$1.85,23.19
2018-06-30,39.6,$1.37,28.91
2018-03-31,44.28,$1.17,37.84
2017-12-31,36.98,$1.12,33.02
2017-09-30,33.41,$1.61,20.75
2017-06-30,38.95,$2.09,18.63
2017-03-31,33.76,$1.85,18.25
2016-12-31,28.35,$1.82,15.58
2016-09-30,29.34,$1.72,17.06
2016-06-30,32.41,$1.65,19.64
2016-03-31,31.62,$1.40,22.58
2015-12-31,25.59,$1.32,19.39
2015-09-30,22.37,$1.37,16.33
2015-06-30,26.47,$1.45,18.25
2015-03-31,31.39,$1.68,18.68
2014-12-31,28.23,$2.04,13.84
2014-09-30,26.51,$2.44,10.86
2014-06-30,25.22,$2.78,9.07
2014-03-31,36.32,$3.29,11.04
2013-12-31,40.77,$3.45,11.82
2013-09-30,39.37,$3.62,10.88
2013-06-30,40.96,$3.62,11.32
2013-03-31,35.66,$3.70,9.64
2012-12-31,39.36,$3.63,10.84
2012-09-30,39.51,$3.58,11.04
2012-06-30,41.04,$3.54,11.59
2012-03-31,54.0,$3.36,16.07
2011-12-31,42.52,$3.21,13.25
2011-09-30,35.98,$3.03,11.87
2011-06-30,44.2,$2.93,15.08
2011-03-31,35.85,$2.89,12.4
2010-12-31,38.0,$2.77,13.72
2010-09-30,29.43,$2.52,11.68
2010-06-30,24.94,$2.33,10.71
2010-03-31,26.87,$2.14,12.56
2009-12-31,24.79,$2.00,12.39
