Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data,Old Dominion Freight Line PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,173.06,,30.47
2024-03-31,219.31,$5.68,38.61
2023-12-31,202.42,$5.63,35.95
2023-09-30,204.12,$5.62,36.32
2023-06-30,184.29,$5.76,32.02
2023-03-31,169.66,$6.08,27.9
2022-12-31,141.09,$6.09,23.17
2022-09-30,123.56,$5.84,21.17
2022-06-30,127.15,$5.39,23.59
2022-03-31,148.01,$4.90,30.24
2021-12-31,177.42,$4.45,39.91
2021-09-30,141.5,$4.05,34.98
2021-06-30,125.49,$3.67,34.24
2021-03-31,118.78,$3.14,37.89
2020-12-31,96.35,$2.84,33.93
2020-09-30,89.24,$2.64,33.87
2020-06-30,83.59,$2.46,33.94
2020-03-31,64.64,$2.56,25.27
2019-12-31,62.23,$2.55,24.41
2019-09-30,55.69,$2.60,21.42
2019-06-30,48.85,$2.62,18.62
2019-03-31,47.2,$2.57,18.39
2018-12-31,40.32,$2.46,16.37
2018-09-30,52.6,$2.61,20.15
2018-06-30,48.55,$2.32,20.96
2018-03-31,47.86,$2.05,23.34
2017-12-31,42.8,$1.87,22.84
2017-09-30,35.79,$1.35,26.45
2017-06-30,30.93,$1.28,24.1
2017-03-31,27.76,$1.21,22.88
2016-12-31,27.8,$1.19,23.42
2016-09-30,22.23,$1.19,18.63
2016-06-30,19.54,$1.18,16.56
2016-03-31,22.56,$1.19,19.01
2015-12-31,19.14,$1.19,16.09
2015-09-30,19.77,$1.18,16.8
2015-06-30,22.23,$1.15,19.39
2015-03-31,25.05,$1.10,22.77
2014-12-31,25.16,$1.03,24.34
2014-09-30,22.89,$0.95,24.18
2014-06-30,20.63,$0.88,23.45
2014-03-31,18.39,$0.82,22.42
2013-12-31,17.18,$0.80,21.47
2013-09-30,14.9,$0.77,19.35
2013-06-30,13.49,$0.73,18.39
2013-03-31,12.38,$0.69,17.91
2012-12-31,11.11,$0.65,16.97
2012-09-30,9.77,$0.65,14.93
2012-06-30,9.35,$0.61,15.42
2012-03-31,10.3,$0.58,17.89
2011-12-31,8.76,$0.54,16.22
2011-09-30,6.26,$0.47,13.22
2011-06-30,8.06,$0.42,19.08
2011-03-31,7.58,$0.35,21.36
2010-12-31,6.91,$0.30,22.92
2010-09-30,5.49,$0.25,21.68
2010-06-30,5.06,$0.20,25.69
2010-03-31,4.81,$0.15,31.2
2009-12-31,4.42,$0.14,31.74
