WestRock PE Ratio Historical Data,WestRock PE Ratio Historical Data,WestRock PE Ratio Historical Data,WestRock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,54.13,,45.49
2024-03-31,49.16,$1.19,41.31
2023-12-31,40.99,$-6.72,0.0
2023-09-30,35.06,$-6.45,0.0
2023-06-30,28.24,$-5.54,0.0
2023-03-31,29.32,$-4.86,0.0
2022-12-31,33.54,$3.14,10.68
2022-09-30,29.24,$3.64,8.03
2022-06-30,37.49,$3.50,10.71
2022-03-31,44.03,$2.96,14.88
2021-12-31,41.31,$3.23,12.79
2021-09-30,46.17,$3.12,14.8
2021-06-30,49.08,$-2.53,0.0
2021-03-31,47.81,$-2.77,0.0
2020-12-31,39.8,$-2.62,0.0
2020-09-30,31.6,$-2.66,0.0
2020-06-30,25.54,$2.99,8.54
2020-03-31,25.34,$3.28,7.73
2019-12-31,38.04,$3.33,11.42
2019-09-30,31.94,$3.34,9.56
2019-06-30,31.55,$3.22,9.8
2019-03-31,32.77,$3.27,10.02
2018-12-31,31.89,$3.51,9.09
2018-09-30,44.69,$7.35,6.08
2018-06-30,47.32,$7.03,6.73
2018-03-31,52.87,$7.29,7.25
2017-12-31,51.73,$6.83,7.57
2017-09-30,46.09,$2.77,16.64
2017-06-30,45.71,$1.64,27.87
2017-03-31,41.67,$0.71,58.69
2016-12-31,40.36,$0.53,76.15
2016-09-30,38.23,$-1.55,0.0
2016-06-30,30.39,$-0.74,0.0
2016-03-31,27.34,$0.00,0.0
