Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data,Medtronic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,82.29,,36.41
2024-04-30,80.24,$2.26,35.5
2024-01-31,86.82,$3.14,27.65
2023-10-31,69.4,$3.07,22.61
2023-07-31,85.58,$2.71,31.58
2023-04-30,88.0,$2.82,31.2
2023-01-31,80.27,$3.04,26.4
2022-10-31,83.03,$3.22,25.79
2022-07-31,87.25,$3.87,22.54
2022-04-30,97.66,$3.73,26.18
2022-01-31,96.28,$3.63,26.52
2021-10-31,110.82,$3.47,31.94
2021-07-31,120.83,$2.86,42.25
2021-04-30,119.86,$2.66,45.06
2021-01-31,101.42,$2.14,47.39
2020-10-31,91.16,$2.62,34.79
2020-07-31,86.95,$3.27,26.59
2020-04-30,87.42,$3.55,24.63
2020-01-31,102.76,$3.94,26.08
2019-10-31,96.48,$3.46,27.88
2019-07-31,89.86,$3.27,27.48
2019-04-30,77.86,$3.42,22.77
2019-01-31,77.07,$3.62,21.29
2018-10-31,77.88,$1.65,47.2
2018-07-31,77.84,$2.31,33.7
2018-04-30,68.73,$2.26,30.41
2018-01-31,73.67,$2.03,36.29
2017-10-31,69.06,$3.65,18.92
2017-07-31,71.6,$2.97,24.11
2017-04-30,70.48,$2.89,24.39
2017-01-31,64.14,$2.83,22.67
2016-10-31,68.79,$3.01,22.86
2016-07-31,73.14,$2.57,28.46
2016-04-30,65.74,$2.48,26.51
2016-01-31,62.74,$1.70,36.9
2015-10-31,60.78,$1.91,31.82
2015-07-31,64.11,$2.38,26.94
2015-04-30,60.58,$2.68,22.6
2015-01-31,57.87,$3.12,18.55
2014-10-31,55.01,$2.89,19.04
2014-07-31,49.59,$2.95,16.81
2014-04-30,47.02,$3.01,15.62
2014-01-31,45.01,$3.52,12.79
2013-10-31,45.46,$3.74,12.15
2013-07-31,43.52,$3.48,12.51
2013-04-30,36.58,$3.38,10.82
2013-01-31,36.31,$3.37,10.78
2012-10-31,32.2,$3.28,9.82
2012-07-31,30.35,$3.47,8.75
2012-04-30,29.21,$3.41,8.57
2012-01-31,29.32,$3.19,9.19
2011-10-31,26.24,$3.17,8.28
2011-07-31,27.03,$2.87,9.42
2011-04-30,31.1,$2.86,10.87
2011-01-31,28.38,$3.00,9.46
2010-10-31,25.93,$2.89,8.97
2010-07-31,27.03,$3.15,8.58
2010-04-30,31.76,$2.79,11.38
2010-01-31,31.03,$2.15,14.43
2009-10-31,25.71,$2.05,12.54
