Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,129.49,,0.0
2024-02-29,90.52,$-3.45,0.0
2023-11-30,75.94,$-6.28,0.0
2023-08-31,69.66,$-5.34,0.0
2023-05-31,67.8,$-2.68,0.0
2023-02-28,57.37,$1.39,41.27
2022-11-30,57.07,$5.51,10.36
2022-08-31,55.84,$7.73,7.22
2022-05-31,72.8,$8.77,8.3
2022-02-28,87.48,$7.95,11.0
2021-11-30,82.61,$6.48,12.75
2021-08-31,72.38,$5.15,14.05
2021-05-31,82.63,$3.63,22.76
2021-02-28,89.89,$2.82,31.88
2020-11-30,62.94,$2.65,23.75
2020-08-31,44.69,$2.37,18.86
2020-05-31,47.05,$1.99,23.64
2020-02-29,51.62,$2.02,25.55
2019-11-30,46.66,$3.08,15.15
2019-08-31,44.46,$5.46,8.14
2019-05-31,32.03,$8.53,3.75
2019-02-28,40.15,$10.89,3.69
2018-11-30,37.87,$12.14,3.12
2018-08-31,51.58,$11.52,4.48
2018-05-31,56.56,$9.95,5.68
2018-02-28,47.93,$8.25,5.81
2017-11-30,41.63,$6.35,6.56
2017-08-31,31.4,$4.32,7.27
2017-05-31,30.22,$2.17,13.93
2017-02-28,23.02,$0.56,41.11
2016-11-30,19.18,$-0.30,0.0
2016-08-31,16.19,$-0.27,0.0
2016-05-31,12.49,$0.31,40.3
2016-02-29,10.44,$0.94,11.11
2015-11-30,15.64,$1.81,8.64
2015-08-31,16.12,$2.46,6.55
2015-05-31,27.43,$3.00,9.14
2015-02-28,30.12,$3.26,9.24
2014-11-30,35.31,$3.09,11.43
2014-08-31,32.02,$2.55,12.56
2014-05-31,28.08,$3.10,9.06
2014-02-28,23.76,$2.46,9.66
2013-11-30,20.72,$1.57,13.2
2013-08-31,13.33,$1.00,13.33
2013-05-31,11.47,$-0.75,0.0
2013-02-28,8.22,$-1.11,0.0
2012-11-30,5.86,$-1.06,0.0
2012-08-31,6.1,$-0.98,0.0
2012-05-31,5.74,$-0.88,0.0
2012-02-29,8.4,$-0.49,0.0
2011-11-30,5.88,$-0.19,0.0
2011-08-31,5.8,$0.15,38.69
2011-05-31,10.02,$0.61,16.42
2011-02-28,10.93,$1.46,7.49
2010-11-30,7.14,$1.78,4.01
2010-08-31,6.34,$1.86,3.41
2010-05-31,8.93,$1.44,6.2
2010-02-28,8.9,$0.16,55.61
2009-11-30,7.39,$-1.20,0.0
