Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data,Citizens Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,35.35,,12.81
2024-03-31,35.85,$2.76,12.99
2023-12-31,32.34,$3.11,10.4
2023-09-30,25.69,$4.02,6.39
2023-06-30,24.67,$4.40,5.61
2023-03-31,28.29,$4.15,6.82
2022-12-31,36.31,$4.08,8.9
2022-09-30,31.36,$4.00,7.84
2022-06-30,32.22,$3.95,8.16
2022-03-31,40.52,$4.72,8.58
2021-12-31,41.92,$5.16,8.12
2021-09-30,41.34,$4.98,8.3
2021-06-30,40.0,$4.48,8.93
2021-03-31,38.18,$3.57,10.69
2020-12-31,30.61,$3.18,9.63
2020-09-30,21.33,$3.16,6.75
2020-06-30,20.95,$3.43,6.11
2019-12-31,32.8,$3.82,8.59
2019-09-30,28.28,$3.80,7.44
2019-06-30,28.01,$2.86,9.79
2019-03-31,25.52,$2.82,9.05
2018-12-31,23.13,$2.78,8.32
2020-03-31,15.35,$2.60,5.9
2018-09-30,29.78,$3.92,7.6
2018-06-30,29.83,$3.69,8.09
2018-03-31,32.02,$3.44,9.31
2017-12-31,31.87,$3.27,9.75
2017-09-30,28.62,$2.47,11.59
2017-06-30,26.82,$2.35,11.41
2017-03-31,25.88,$2.18,11.87
2016-12-31,26.58,$1.98,13.43
2016-09-30,18.35,$1.85,9.92
2016-06-30,14.76,$1.69,8.73
2016-03-31,15.4,$1.58,9.74
2015-12-31,19.15,$1.55,12.36
2015-09-30,17.38,$1.49,11.66
2015-06-30,19.81,$1.43,13.86
