PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data,PNC Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,154.26,,12.95
2024-03-31,159.95,$11.91,13.43
2023-12-31,151.69,$12.79,11.86
2023-09-30,118.71,$14.41,8.24
2023-06-30,120.3,$14.59,8.25
2023-03-31,119.96,$14.62,8.21
2022-12-31,147.72,$13.87,10.65
2022-09-30,138.36,$13.26,10.43
2022-06-30,144.71,$12.78,11.32
2022-03-31,167.79,$11.82,14.2
2021-12-31,181.38,$12.69,14.29
2021-09-30,175.88,$13.09,13.44
2021-06-30,170.37,$13.18,12.93
2021-03-31,155.64,$19.15,8.13
2020-12-31,131.23,$18.02,7.28
2020-09-30,95.8,$17.70,5.41
2020-06-30,90.71,$17.19,5.28
2019-12-31,134.92,$11.40,11.83
2019-09-30,117.51,$11.18,10.51
2019-06-30,114.15,$10.19,11.2
2019-03-31,101.26,$10.13,10.0
2018-12-31,95.76,$10.24,9.35
2020-03-31,81.51,$9.92,8.22
2018-09-30,110.71,$12.15,9.11
2018-06-30,109.09,$11.49,9.49
2018-03-31,121.49,$10.87,11.18
2017-12-31,115.34,$10.40,11.09
2017-09-30,107.14,$8.19,13.08
2017-06-30,98.69,$7.87,12.54
2017-03-31,94.58,$7.59,12.46
2016-12-31,91.57,$7.31,12.53
2016-09-30,70.1,$7.21,9.72
2016-06-30,62.91,$7.27,8.65
2016-03-31,64.98,$7.33,8.86
2015-12-31,72.8,$7.40,9.84
2015-09-30,67.75,$7.37,9.19
2015-06-30,72.26,$7.26,9.95
2015-03-31,70.06,$7.23,9.69
2014-12-31,68.16,$7.30,9.34
2014-09-30,63.57,$7.31,8.7
2014-06-30,65.78,$7.31,9.0
2014-03-31,63.89,$7.45,8.58
2013-12-31,56.65,$6.87,8.25
2013-09-30,52.59,$6.66,7.9
2013-06-30,52.62,$5.86,8.98
2012-12-31,41.52,$5.32,7.8
2012-09-30,44.64,$4.93,9.06
2012-06-30,42.96,$5.05,8.51
2012-03-31,45.04,$5.61,8.03
2011-12-31,40.05,$5.83,6.87
2013-03-31,47.66,$6.55,7.28
2011-09-30,33.23,$6.31,5.27
2011-06-30,40.85,$6.84,5.97
2011-03-31,42.93,$6.64,6.46
2010-12-31,41.31,$5.73,7.21
2010-09-30,35.25,$6.38,5.53
2010-06-30,38.31,$5.30,7.23
2010-03-31,40.41,$3.97,10.18
2009-12-31,35.67,$4.34,8.22
