Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data,Clorox PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,131.53,,68.15
2024-03-31,151.86,$1.93,78.68
2023-12-31,140.25,$0.63,222.63
2023-09-30,127.65,$0.68,187.73
2023-06-30,153.77,$1.19,129.22
2023-03-31,151.91,$0.58,261.91
2022-12-31,133.6,$3.50,38.17
2022-09-30,121.21,$3.26,37.18
2022-06-30,132.02,$3.72,35.49
2022-03-31,129.17,$3.69,35.01
2021-12-31,160.93,$1.99,80.87
2021-09-30,151.76,$3.46,43.86
2021-06-30,163.83,$5.54,29.57
2021-03-31,174.64,$7.17,24.36
2020-12-31,181.88,$9.55,19.04
2020-09-30,188.32,$8.98,20.97
2020-06-30,195.62,$7.35,26.61
2020-03-31,153.64,$6.82,22.53
2019-12-31,135.24,$6.37,21.23
2019-09-30,132.83,$6.31,21.05
2019-06-30,133.06,$6.34,20.99
2019-03-31,138.58,$6.12,22.64
2018-12-31,132.28,$6.05,21.86
2018-09-30,128.27,$6.42,19.98
2018-06-30,114.53,$6.26,18.3
2018-03-31,111.79,$6.12,18.27
2017-12-31,124.18,$6.06,20.49
2017-09-30,109.41,$5.55,19.71
2017-06-30,109.81,$5.32,20.64
2017-03-31,110.47,$4.93,22.41
2016-06-30,111.22,$4.93,22.56
2016-03-31,100.7,$5.13,19.63
2015-12-31,100.7,$5.20,19.36
2015-09-30,91.15,$5.02,18.16
2015-06-30,81.5,$4.39,18.57
2015-03-31,85.91,$4.22,20.36
2014-12-31,80.55,$3.96,20.34
2014-09-30,73.68,$3.88,18.99
2014-06-30,69.55,$4.57,15.22
2014-03-31,66.45,$4.28,15.53
2013-12-31,69.47,$4.17,16.66
2013-06-30,61.27,$4.31,14.22
2013-03-31,64.78,$4.26,15.21
2012-12-31,53.13,$4.29,12.39
2012-09-30,51.83,$4.37,11.86
2012-06-30,51.67,$4.15,12.45
2013-09-30,60.72,$3.81,15.94
2012-03-31,48.61,$4.04,12.03
2011-12-31,46.65,$4.12,11.32
2011-09-30,46.08,$4.47,10.31
2011-06-30,46.47,$3.64,12.77
2011-03-31,47.9,$3.90,12.28
2016-12-31,97.69,$4.01,24.36
2010-12-31,42.88,$4.03,10.64
2010-09-30,44.88,$4.65,9.65
2010-06-30,41.44,$4.33,9.57
2010-03-31,42.43,$4.21,10.08
2009-12-31,40.01,$4.16,9.62
2009-06-30,36.01,$4.75,7.58
