Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data,Eaton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,340.89,,40.25
2024-03-31,311.77,$8.47,36.81
2023-12-31,239.36,$8.02,29.85
2023-09-30,211.14,$7.47,28.27
2023-06-30,198.29,$6.77,29.29
2023-03-31,168.1,$6.41,26.23
2022-12-31,153.24,$6.19,24.76
2022-09-30,129.54,$5.96,21.73
2022-06-30,121.72,$5.70,21.35
2021-12-31,165.11,$5.34,30.92
2021-09-30,142.02,$5.15,27.58
2021-06-30,140.31,$4.91,28.58
2021-03-31,130.26,$4.76,27.36
2020-12-31,112.56,$3.75,30.02
2022-03-31,145.78,$3.64,40.05
2020-09-30,94.96,$3.40,27.93
2020-06-30,80.84,$3.73,21.67
2020-03-31,71.09,$4.83,14.72
2019-12-31,85.84,$5.22,16.45
2019-09-30,74.75,$5.08,14.71
2019-03-31,71.16,$5.03,14.15
2018-12-31,60.12,$4.90,12.27
2018-09-30,75.26,$4.87,15.45
2018-06-30,64.34,$5.42,11.87
2018-03-31,68.17,$7.17,9.51
2017-12-31,66.87,$7.22,9.26
2019-06-30,74.21,$6.75,10.99
2017-09-30,64.51,$6.37,10.13
2017-06-30,64.85,$4.38,14.81
2017-03-31,61.31,$4.30,14.26
2016-12-31,55.01,$4.22,13.04
2016-09-30,53.37,$4.25,12.56
2016-06-30,48.09,$4.06,11.84
2016-03-31,49.9,$4.13,12.08
2015-12-31,41.1,$4.24,9.69
2015-09-30,40.13,$4.32,9.29
2015-06-30,52.33,$4.62,11.33
2015-03-31,52.26,$3.84,13.61
2014-12-31,51.86,$3.77,13.76
2014-09-30,48.01,$3.54,13.56
2014-06-30,58.05,$3.35,17.33
2014-03-31,56.13,$4.03,13.93
2013-12-31,56.51,$3.90,14.49
2013-09-30,50.8,$3.36,15.12
2013-06-30,48.28,$3.31,14.58
2013-03-31,44.61,$3.39,13.16
2012-12-31,39.2,$3.51,11.17
2012-09-30,33.92,$4.12,8.23
2012-06-30,28.19,$4.17,6.76
2012-03-31,35.16,$4.02,8.75
2011-12-31,30.48,$3.94,7.74
2011-09-30,24.68,$3.69,6.7
2011-06-30,35.48,$3.40,10.43
2011-03-31,37.98,$3.10,12.27
2010-12-31,34.55,$2.72,12.7
2010-09-30,27.91,$2.53,11.03
2010-06-30,21.98,$2.32,9.49
2010-03-31,25.27,$1.74,14.56
2009-12-31,21.05,$1.13,18.63
