Blackstone PE Ratio Historical Data,Blackstone PE Ratio Historical Data,Blackstone PE Ratio Historical Data,Blackstone PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,123.64,,43.69
2024-03-31,131.37,$2.83,46.42
2023-12-31,130.92,$1.83,71.54
2023-09-30,107.14,$2.38,45.02
2023-06-30,92.97,$1.65,56.35
2023-03-31,87.84,$0.82,107.12
2022-12-31,74.19,$2.37,31.3
2022-09-30,83.7,$3.54,23.64
2022-06-30,89.98,$5.48,16.42
2022-03-31,123.6,$7.34,16.84
2021-12-31,124.62,$8.14,15.31
2021-09-30,111.18,$7.29,15.25
2021-06-30,92.27,$6.48,14.24
2021-03-31,70.14,$5.47,12.82
2020-12-31,60.18,$1.43,42.08
2020-09-30,48.0,$1.07,44.86
2020-06-30,51.75,$1.09,47.47
2020-03-31,41.3,$0.73,56.57
2019-12-31,50.21,$3.02,16.63
2019-09-30,43.44,$2.29,18.97
2019-06-30,39.13,$1.78,21.98
2019-03-31,30.52,$2.42,12.61
2018-12-31,25.58,$2.24,11.42
2018-09-30,32.67,$2.68,12.19
2018-06-30,27.16,$2.60,10.45
2018-03-31,26.67,$2.02,13.2
2017-12-31,26.06,$2.18,11.95
2017-09-30,26.8,$2.31,11.6
2017-06-30,26.36,$2.22,11.88
2017-03-31,22.84,$2.01,11.36
2016-12-31,20.47,$1.55,13.21
2016-09-30,19.01,$1.23,15.45
2016-06-30,18.03,$0.36,50.09
2016-03-31,20.4,$0.27,75.57
2015-12-31,20.79,$1.04,19.99
2015-09-30,21.78,$1.70,12.81
2015-06-30,27.6,$2.51,11.0
2015-03-31,25.7,$3.15,8.16
2014-12-31,21.89,$2.59,8.45
2014-09-30,20.07,$2.74,7.33
2014-06-30,20.99,$2.62,8.01
2014-03-31,20.65,$2.13,9.69
2013-12-31,19.2,$1.98,9.7
2013-09-30,15.05,$1.13,13.32
2013-06-30,12.61,$1.08,11.67
2013-03-31,11.67,$0.58,20.12
2012-12-31,8.99,$0.40,22.47
2012-09-30,8.18,$-0.04,0.0
2012-06-30,7.43,$-0.53,0.0
2012-03-31,8.99,$-0.21,0.0
2011-12-31,7.79,$-0.23,0.0
2011-09-30,6.61,$-0.01,0.0
2011-06-30,9.07,$0.12,75.57
2011-03-31,9.74,$-0.61,0.0
2010-12-31,7.57,$-1.06,0.0
2010-09-30,6.74,$-1.48,0.0
2010-06-30,5.03,$-1.97,0.0
2010-03-31,7.3,$-2.02,0.0
2009-12-31,6.71,$-2.50,0.0
