GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data,GE Aerospace PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,167.33,,54.86
2024-03-31,139.71,$3.05,45.81
2023-12-31,101.58,$8.37,12.14
2023-09-30,87.93,$8.87,9.91
2023-06-30,87.25,$8.43,10.35
2023-03-31,75.93,$7.67,9.9
2022-12-31,66.49,$-0.03,0.0
2022-09-30,49.08,$-5.53,0.0
2022-06-30,50.41,$-4.24,0.0
2022-03-31,72.36,$-4.58,0.0
2021-12-31,74.64,$-6.23,0.0
2021-09-30,81.33,$-0.52,0.0
2021-06-30,84.94,$-2.72,0.0
2021-03-31,82.79,$-3.68,0.0
2020-12-31,68.05,$4.56,14.92
2020-09-30,39.22,$2.88,13.62
2020-06-30,42.93,$-4.64,0.0
2020-03-31,49.82,$-2.64,0.0
2019-12-31,69.96,$-4.96,0.0
2019-09-30,55.99,$-4.88,0.0
2019-06-30,65.69,$-17.20,0.0
2019-03-31,62.44,$-16.56,0.0
2018-12-31,45.58,$-20.96,0.0
2018-09-30,67.89,$-30.56,0.0
2018-06-30,81.08,$-7.92,0.0
2018-03-31,79.58,$-7.44,0.0
2017-12-31,102.17,$-5.76,0.0
2017-09-30,140.61,$6.40,21.97
2017-06-30,155.51,$6.48,24.0
2017-03-31,170.16,$7.84,21.7
2016-12-31,179.01,$7.20,24.86
2016-09-30,166.54,$9.20,18.1
2016-06-30,175.64,$9.44,18.61
2016-03-31,176.04,$6.00,29.34
2015-12-31,171.15,$-4.72,0.0
2015-09-30,137.54,$-5.76,0.0
2015-06-30,143.6,$-4.96,0.0
2015-03-31,132.97,$-1.12,0.0
2014-12-31,134.2,$12.08,11.11
2014-09-30,134.82,$11.28,11.95
2014-06-30,137.14,$10.96,12.51
2014-03-31,134.01,$10.56,12.69
2013-12-31,143.83,$10.88,13.22
2013-09-30,121.61,$10.64,11.43
2013-06-30,117.14,$10.80,10.85
2013-03-31,115.84,$10.72,10.81
2012-12-31,104.31,$10.32,10.11
2012-09-30,111.85,$10.08,11.1
2012-06-30,101.87,$9.20,11.07
2012-03-31,97.26,$9.68,10.05
2011-12-31,86.03,$9.92,8.67
2011-09-30,72.43,$10.48,6.91
2011-06-30,88.92,$10.16,8.75
2011-03-31,93.77,$9.60,9.77
2010-12-31,84.96,$8.40,10.11
2010-09-30,74.9,$7.28,10.29
2010-06-30,65.98,$7.68,8.59
2010-03-31,82.76,$7.36,11.24
2009-12-31,68.37,$8.08,8.46
