Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data,Vistra PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,102.1,,62.64
2024-03-31,69.65,$1.63,42.73
2023-12-31,38.39,$3.58,10.72
2023-09-30,32.88,$3.40,9.67
2023-06-30,25.85,$3.66,7.06
2023-03-31,23.45,$-0.78,0.0
2022-12-31,22.49,$-3.21,0.0
2022-09-30,20.19,$-1.03,0.0
2022-06-30,21.81,$-2.53,0.0
2022-03-31,22.02,$0.81,27.19
2021-12-31,21.4,$-2.68,0.0
2021-09-30,15.96,$-4.18,0.0
2021-06-30,17.17,$-3.29,0.0
2021-03-31,16.23,$-3.02,0.0
2020-12-31,17.9,$1.30,13.77
2020-09-30,17.05,$1.84,9.27
2020-06-30,16.71,$1.17,14.28
2020-03-31,14.23,$1.53,9.3
2019-12-31,20.29,$1.86,10.91
2019-09-30,23.47,$1.00,23.47
2019-06-30,19.78,$1.38,14.34
2019-03-31,22.63,$0.88,25.71
2018-12-31,19.8,$-0.27,0.0
2018-09-30,21.52,$-1.25,0.0
2018-06-30,20.47,$-1.22,0.0
2018-03-31,18.02,$-1.48,0.0
