Corning PE Ratio Historical Data,Corning PE Ratio Historical Data,Corning PE Ratio Historical Data,Corning PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,36.28,,51.1
2024-03-31,32.96,$0.71,46.42
2023-12-31,30.19,$0.67,45.05
2023-09-30,29.91,$0.68,43.99
2023-06-30,34.11,$0.73,46.72
2023-03-31,34.03,$1.06,32.11
2022-12-31,30.56,$1.54,19.85
2022-09-30,27.54,$2.14,12.87
2022-06-30,29.68,$2.33,12.74
2022-03-31,34.5,$1.25,27.6
2021-12-31,34.57,$1.24,27.88
2021-09-30,33.67,$0.96,35.08
2021-06-30,37.52,$1.01,37.15
2021-03-31,39.69,$1.30,30.53
2020-12-31,32.63,$0.47,69.43
2020-09-30,29.19,$0.20,145.97
2020-06-30,23.17,$0.10,231.72
2020-03-31,18.2,$0.32,56.88
2019-12-31,25.56,$1.03,24.82
2019-09-30,24.87,$1.34,18.56
2019-06-30,28.77,$1.63,17.65
2019-03-31,28.47,$2.32,12.27
2018-12-31,25.83,$1.05,24.6
2018-09-30,30.02,$-0.93,0.0
2018-06-30,23.27,$-1.21,0.0
2018-03-31,23.42,$-1.57,0.0
2017-12-31,26.71,$-0.78,0.0
2017-09-30,24.86,$2.35,10.58
2017-06-30,24.83,$2.22,11.18
2017-03-31,22.19,$3.67,6.05
2016-12-31,19.84,$3.24,6.12
2016-09-30,19.22,$1.94,9.91
2016-06-30,16.55,$1.83,9.04
2016-03-31,16.76,$0.32,52.39
2015-12-31,14.56,$0.97,15.01
2015-09-30,13.55,$1.50,9.03
2015-06-30,15.51,$2.07,7.49
2015-03-31,17.73,$1.82,9.74
2014-12-31,17.83,$1.73,10.31
2014-09-30,14.97,$1.33,11.26
2014-06-30,16.91,$0.89,19.0
2014-03-31,15.96,$1.21,13.19
2013-12-31,13.59,$1.34,10.14
2013-09-30,11.06,$1.23,8.99
2013-06-30,10.71,$1.29,8.31
2013-03-31,9.97,$1.16,8.6
2012-12-31,9.37,$1.13,8.29
2012-09-30,9.69,$1.25,7.75
2012-06-30,9.46,$1.42,6.66
2012-03-31,10.25,$1.59,6.44
2011-12-31,9.39,$1.76,5.34
2011-09-30,8.9,$2.11,4.22
2011-06-30,13.03,$2.10,6.2
2011-03-31,14.77,$2.21,6.68
2010-12-31,13.8,$2.26,6.11
2010-09-30,13.02,$2.07,6.29
2010-06-30,11.47,$1.98,5.79
2010-03-31,14.31,$1.79,8.0
2009-12-31,13.64,$1.28,10.65
