Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data,Conagra Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,30.28,,15.22
2024-02-29,27.77,$1.99,13.95
2023-11-30,27.64,$2.06,13.42
2023-08-31,28.82,$2.25,12.81
2023-05-31,33.28,$1.42,23.44
2023-02-28,34.45,$1.67,20.63
2022-11-30,35.62,$1.41,25.26
2022-08-31,31.95,$1.19,26.85
2022-05-31,30.27,$1.84,16.45
2022-02-28,31.91,$2.15,14.84
2021-11-30,27.63,$2.28,12.12
2021-08-31,29.67,$2.48,11.96
2021-05-31,33.81,$2.66,12.71
2021-02-28,29.89,$2.43,12.3
2020-11-30,31.95,$2.27,14.07
2020-08-31,33.26,$2.03,16.39
2020-05-31,30.0,$1.72,17.44
2020-02-29,22.87,$1.57,14.57
2019-11-30,24.58,$1.65,14.9
2019-08-31,23.96,$1.43,16.75
2019-05-31,22.45,$1.52,14.77
2019-02-28,19.46,$1.44,13.52
2018-11-30,26.93,$1.84,14.64
2018-08-31,30.43,$2.07,14.7
2018-05-31,30.51,$1.98,15.41
2018-02-28,29.57,$2.16,13.69
2017-11-30,30.38,$1.67,18.19
2017-08-31,26.42,$1.41,18.74
2017-05-31,31.18,$1.47,21.21
2017-02-28,33.17,$1.38,24.03
2016-11-30,29.38,$1.43,20.54
2016-08-31,28.8,$1.50,19.2
2016-05-31,28.08,$-1.77,0.0
2016-02-29,25.7,$-1.56,0.0
2015-11-30,24.85,$-4.25,0.0
2015-08-31,25.15,$-4.58,0.0
2015-05-31,23.17,$-0.61,0.0
2015-02-28,20.85,$-1.86,0.0
2014-11-30,21.62,$0.92,23.5
2014-08-31,18.92,$1.48,12.78
2014-05-31,18.83,$0.70,26.9
2014-02-28,16.42,$1.92,8.55
2013-11-30,18.93,$1.66,11.4
2013-08-31,19.25,$1.59,12.11
2013-05-31,19.05,$1.86,10.24
2013-02-28,19.15,$1.20,15.96
2012-11-30,16.64,$1.56,10.66
2012-08-31,13.87,$1.46,9.5
2012-05-31,13.75,$1.05,13.09
2012-02-29,14.22,$1.87,7.6
2011-11-30,13.56,$1.72,7.88
2011-08-31,12.99,$1.76,7.38
2011-05-31,13.4,$1.89,7.09
2011-02-28,12.09,$1.48,8.17
2010-11-30,11.1,$1.49,7.45
2010-08-31,11.05,$1.58,6.99
2010-05-31,12.27,$1.62,7.57
2010-02-28,12.31,$1.81,6.8
2009-11-30,11.07,$1.73,6.4
