Hartford Financial Services PE Ratio Historical Data,Hartford Financial Services PE Ratio Historical Data,Hartford Financial Services PE Ratio Historical Data,Hartford Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,101.28,,11.51
2024-03-31,103.05,$8.80,11.71
2023-12-31,79.98,$7.99,10.01
2023-09-30,70.14,$7.29,9.62
2023-06-30,70.82,$6.22,11.39
2023-03-31,68.1,$5.81,11.72
2022-12-31,73.7,$5.45,13.52
2022-09-30,59.87,$5.74,10.43
2022-06-30,62.86,$6.08,10.34
2022-03-31,68.63,$7.27,9.44
2021-12-31,65.62,$6.64,9.88
2021-09-30,66.38,$6.01,11.04
2021-06-30,58.25,$5.91,9.86
2021-03-31,62.45,$4.69,13.32
2020-12-31,45.48,$4.76,9.56
2020-09-30,33.98,$4.78,7.11
2020-06-30,35.25,$4.95,7.12
2020-03-31,31.96,$4.68,6.83
2019-12-31,54.75,$5.65,9.69
2019-09-30,54.34,$4.68,11.61
2019-06-30,49.7,$4.44,11.19
2019-03-31,44.1,$5.02,8.78
2018-12-31,39.19,$4.95,7.92
2018-09-30,43.75,$-5.94,0.0
2018-06-30,44.51,$-6.49,0.0
2018-03-31,44.63,$-8.20,0.0
2017-12-31,48.52,$-10.06,0.0
2017-09-30,47.58,$1.43,33.27
2017-06-30,44.94,$1.33,33.79
2016-12-31,40.35,$2.23,18.09
2016-09-30,36.08,$3.46,10.43
2016-06-30,37.21,$3.34,11.14
2016-03-31,38.45,$3.70,10.39
2015-12-31,36.09,$3.87,9.33
2017-03-31,40.9,$3.94,10.38
2015-09-30,37.85,$3.80,9.96
2015-06-30,34.21,$3.76,9.1
2015-03-31,34.27,$1.79,19.14
2014-12-31,34.01,$1.74,19.55
2014-09-30,30.26,$1.53,19.78
2014-06-30,28.95,$1.27,22.79
2014-03-31,28.39,$1.89,15.02
2013-12-31,29.04,$0.28,103.71
2013-09-30,24.84,$-0.50,0.0
2013-06-30,24.56,$-0.27,0.0
2013-03-31,20.43,$-0.14,0.0
2012-12-31,17.69,$0.62,28.54
2012-09-30,15.26,$0.99,15.41
2012-06-30,13.76,$0.14,98.27
2012-03-31,16.35,$0.45,36.34
2011-12-31,12.55,$1.28,9.8
2011-09-30,12.38,$2.28,5.43
2011-06-30,20.13,$3.64,5.53
2011-03-31,20.48,$3.73,5.49
2010-12-31,20.08,$2.30,8.73
2010-09-30,17.36,$2.25,7.71
2010-06-30,16.69,$0.12,139.11
2010-03-31,21.4,$-0.08,0.0
2009-12-31,17.48,$-3.43,0.0
