Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data,Alexandria Real Estate Equities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,118.4,,110.65
2024-03-31,128.91,$1.07,120.48
2023-12-31,125.52,$0.54,232.45
2023-09-30,98.15,$1.39,70.61
2023-06-30,109.9,$3.37,32.61
2023-03-31,120.31,$4.53,26.56
2022-12-31,138.19,$3.13,44.15
2022-09-30,131.89,$3.29,40.09
2022-06-30,135.29,$1.85,73.13
2022-03-31,186.22,$2.79,66.75
2021-12-31,205.14,$3.79,54.13
2021-09-30,174.9,$6.58,26.58
2021-06-30,165.58,$6.54,25.32
2021-03-31,148.62,$5.75,25.85
2020-12-31,160.16,$5.85,27.38
2020-09-30,142.89,$4.33,33.0
2020-06-30,143.95,$3.26,44.16
2020-03-31,120.81,$2.12,56.99
2019-12-31,141.41,$3.09,45.77
2019-09-30,133.95,$1.05,127.57
2019-06-30,121.89,$3.47,35.13
2019-03-31,122.29,$3.30,37.06
2018-12-31,98.19,$3.51,27.97
2018-09-30,106.27,$4.19,25.36
2018-06-30,105.79,$2.76,38.33
2018-03-31,103.96,$2.60,39.98
2017-12-31,107.91,$1.57,68.74
2017-09-30,97.64,$0.88,110.95
2017-06-30,98.15,$0.40,245.38
2017-03-31,89.41,$-1.67,0.0
2016-12-31,89.23,$-2.01,0.0
2016-09-30,86.67,$-1.21,0.0
2016-06-30,81.9,$-0.82,0.0
2016-03-31,71.34,$1.34,53.24
2015-12-31,70.31,$1.64,42.87
2015-09-30,65.33,$0.92,71.01
2015-06-30,66.88,$0.85,78.68
2015-03-31,74.33,$0.80,92.91
2014-12-31,66.77,$1.01,66.11
2014-09-30,55.04,$1.75,31.45
2014-06-30,57.38,$1.71,33.56
2014-03-31,53.13,$1.70,31.25
2013-12-31,46.13,$1.60,28.83
2013-09-30,45.81,$1.42,32.26
2013-06-30,46.66,$1.24,37.63
2013-03-31,49.89,$1.15,43.38
2012-12-31,48.31,$1.09,44.32
2012-09-30,50.82,$1.20,42.35
2012-06-30,49.91,$1.43,34.9
2012-03-31,49.83,$1.58,31.53
2011-12-31,46.68,$1.72,27.14
2011-09-30,41.25,$2.80,14.73
2011-06-30,51.62,$2.85,18.11
2011-03-31,51.68,$1.96,26.37
2010-12-31,48.28,$1.99,24.26
2010-09-30,45.85,$0.96,47.76
2010-06-30,41.3,$0.98,42.14
2010-03-31,43.81,$2.25,19.47
2009-12-31,41.45,$2.79,14.86
