QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data,QUALCOMM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,210.36,,32.36
2024-03-31,169.3,$6.50,26.05
2023-09-30,109.81,$6.42,17.1
2023-06-30,116.87,$7.64,15.3
2023-03-31,124.38,$8.50,14.63
2022-12-31,106.53,$10.27,10.37
2022-09-30,108.83,$10.86,10.02
2023-12-31,143.89,$11.30,12.73
2022-06-30,122.36,$11.29,10.84
2022-03-31,145.6,$9.77,14.9
2021-12-31,173.54,$8.73,19.88
2021-09-30,121.93,$7.87,15.49
2021-06-30,134.49,$8.00,16.81
2021-03-31,124.13,$6.97,17.81
2020-12-31,141.88,$5.85,24.25
2020-09-30,109.13,$4.53,24.09
2020-06-30,84.14,$2.37,35.5
2020-03-31,61.93,$3.38,18.32
2019-12-31,80.16,$3.52,22.77
2019-09-30,68.78,$3.59,19.16
2019-06-30,68.06,$2.82,24.14
2019-03-31,50.56,$1.89,26.75
2018-12-31,49.89,$1.58,31.58
2018-09-30,62.47,$-3.32,0.0
2018-06-30,48.24,$-2.86,0.0
2018-03-31,47.13,$-3.10,0.0
2017-12-31,53.99,$-2.84,0.0
2017-09-30,43.36,$2.26,19.18
2017-06-30,45.68,$3.12,14.64
2017-03-31,46.97,$3.32,14.15
2016-09-30,55.15,$3.81,14.48
2016-06-30,42.77,$3.41,12.54
2016-03-31,40.45,$2.90,13.95
2015-12-31,39.16,$2.85,13.74
2015-09-30,41.68,$2.49,16.74
2016-12-31,52.91,$2.99,17.7
2015-06-30,48.18,$3.64,13.24
2015-03-31,52.98,$4.22,12.55
2014-12-31,56.46,$4.73,11.94
2014-09-30,56.47,$4.65,12.14
2014-06-30,59.48,$4.40,13.52
2014-03-31,58.92,$3.99,14.77
2013-12-31,55.21,$3.91,14.12
2013-09-30,49.82,$3.91,12.74
2013-06-30,44.98,$3.78,11.9
2013-03-31,49.01,$3.57,13.73
2012-12-31,45.12,$3.79,11.91
2012-09-30,45.39,$3.51,12.93
2012-06-30,40.29,$3.40,11.85
2012-03-31,49.03,$3.32,14.77
2011-12-31,39.27,$2.63,14.93
2011-09-30,34.78,$2.53,13.75
2011-06-30,40.43,$2.44,16.57
2011-03-31,38.89,$2.30,16.91
2010-12-31,34.99,$2.17,16.12
2010-09-30,31.78,$1.96,16.21
2010-06-30,23.01,$1.91,12.05
2010-03-31,29.24,$1.88,15.55
2009-12-31,32.09,$1.24,25.88
