Illumina PE Ratio Historical Data,Illumina PE Ratio Historical Data,Illumina PE Ratio Historical Data,Illumina PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,106.48,,0.0
2024-03-31,137.32,$-8.15,0.0
2023-12-31,139.24,$-7.34,0.0
2023-09-30,137.28,$-7.12,0.0
2023-06-30,187.49,$-26.61,0.0
2023-03-31,232.55,$-28.53,0.0
2022-12-31,202.2,$-27.84,0.0
2022-09-30,190.79,$-24.87,0.0
2022-06-30,184.36,$0.65,283.63
2021-12-31,380.44,$5.05,75.33
2021-09-30,405.61,$6.09,66.6
2021-06-30,473.21,$5.22,90.65
2021-03-31,384.06,$4.28,89.73
2020-12-31,370.0,$4.45,83.15
2020-09-30,309.08,$4.31,71.71
2020-06-30,370.35,$4.68,79.13
2020-03-31,273.12,$6.35,43.01
2019-12-31,331.74,$6.75,49.15
2019-09-30,304.22,$6.55,46.45
2019-06-30,368.15,$6.30,58.44
2019-03-31,310.69,$5.72,54.32
2018-12-31,299.93,$5.56,53.94
2018-09-30,367.06,$4.61,79.62
2018-06-30,279.29,$4.39,63.62
2018-03-31,236.42,$3.85,61.41
2017-12-31,218.49,$4.96,44.05
2017-09-30,199.2,$5.34,37.3
2017-06-30,173.52,$5.10,34.02
2017-03-31,170.64,$5.05,33.79
2016-12-31,128.04,$3.23,39.64
2016-09-30,181.66,$3.18,57.13
2016-06-30,140.38,$3.00,46.79
2015-12-31,191.95,$3.10,61.92
2015-09-30,176.0,$3.43,51.31
2015-06-30,218.36,$3.24,67.4
2015-03-31,185.64,$3.18,58.38
2014-12-31,184.58,$2.57,71.82
2016-03-31,162.11,$1.94,83.56
2014-09-30,163.92,$1.90,86.27
2014-06-30,178.54,$1.49,119.83
2014-03-31,148.66,$1.44,103.24
2013-12-31,110.59,$0.86,128.59
2013-09-30,80.83,$0.83,97.39
2013-06-30,74.84,$0.83,90.17
2013-03-31,53.98,$0.75,71.97
2012-12-31,55.59,$1.13,49.19
2012-09-30,48.19,$1.15,41.9
2012-06-30,40.39,$1.02,39.6
2012-03-31,52.61,$0.99,53.14
2022-03-31,349.4,$1.01,345.94
2011-12-31,30.48,$0.62,49.16
2011-09-30,40.92,$0.78,52.46
2011-06-30,75.15,$0.87,86.38
2011-03-31,70.07,$0.86,81.48
2010-12-31,63.34,$0.86,73.65
2010-09-30,49.2,$0.70,70.29
2010-06-30,43.53,$0.58,75.05
2010-03-31,38.9,$0.55,70.73
2009-12-31,30.68,$0.53,57.89
