Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data,Quest Diagnostics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,141.28,,19.01
2024-03-31,132.35,$7.43,17.81
2023-12-31,136.37,$7.49,18.21
2023-09-30,119.83,$6.66,17.99
2023-06-30,137.52,$6.87,20.02
2023-03-31,137.74,$6.78,20.32
2022-12-31,151.63,$7.92,19.14
2022-09-30,118.29,$10.17,11.63
2022-06-30,127.58,$12.02,10.61
2022-03-31,130.66,$15.02,8.7
2021-12-31,164.44,$15.56,10.57
2021-09-30,137.51,$16.65,8.26
2021-06-30,124.31,$16.77,7.41
2021-03-31,120.31,$13.17,9.13
2020-12-31,111.21,$10.44,10.65
2020-09-30,106.33,$8.09,13.14
2020-06-30,105.34,$5.51,19.12
2020-03-31,73.7,$5.81,12.68
2019-12-31,97.53,$6.28,15.53
2019-09-30,97.25,$5.34,18.21
2019-06-30,92.03,$5.31,17.33
2019-03-31,80.81,$5.22,15.48
2018-12-31,74.36,$5.29,14.06
2018-09-30,95.9,$6.19,15.49
2018-06-30,97.27,$5.81,16.74
2018-03-31,88.29,$5.61,15.74
2017-12-31,86.31,$5.50,15.69
2017-09-30,81.67,$4.77,17.12
2017-06-30,96.55,$4.96,19.47
2017-03-31,84.89,$4.96,17.12
2016-12-31,79.07,$4.50,17.57
2016-09-30,72.81,$4.70,15.49
2016-06-30,69.37,$5.71,12.15
2016-03-31,60.55,$5.15,11.76
2015-12-31,59.95,$4.87,12.31
2015-09-30,51.49,$4.87,10.57
2015-06-30,60.42,$3.40,17.77
2015-03-31,63.71,$3.51,18.15
2014-12-31,55.33,$3.80,14.56
2014-09-30,49.79,$3.48,14.31
2014-06-30,47.89,$5.28,9.07
2014-03-31,47.0,$5.43,8.66
2013-12-31,43.2,$5.57,7.76
2013-09-30,49.86,$4.94,10.09
2013-06-30,48.69,$3.27,14.89
2013-03-31,45.12,$3.31,13.63
2012-12-31,46.08,$3.45,13.36
2012-09-30,50.16,$4.30,11.67
2012-06-30,47.24,$4.36,10.84
2012-03-31,48.09,$4.27,11.26
2011-12-31,45.4,$4.14,10.97
2011-09-30,38.52,$3.91,9.85
2011-06-30,46.12,$3.97,11.62
2011-03-31,44.89,$4.02,11.17
2010-12-31,41.89,$4.05,10.34
2010-09-30,39.18,$4.06,9.65
2010-06-30,38.48,$3.95,9.74
2010-03-31,44.99,$3.89,11.57
2009-12-31,46.53,$3.88,11.99
