FMC PE Ratio Historical Data,FMC PE Ratio Historical Data,FMC PE Ratio Historical Data,FMC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,61.76,,6.89
2024-03-31,63.7,$8.96,7.11
2023-12-31,62.47,$10.53,5.93
2023-09-30,65.75,$3.93,16.73
2023-06-30,101.55,$4.91,20.68
2023-03-31,118.21,$5.73,20.63
2022-12-31,120.22,$5.82,20.66
2022-09-30,101.35,$5.17,19.6
2022-06-30,102.1,$5.44,18.77
2022-03-31,124.92,$5.94,21.03
2021-12-31,103.92,$5.70,18.23
2021-09-30,86.17,$4.56,18.9
2021-06-30,101.31,$4.19,24.18
2021-03-31,103.11,$4.04,25.52
2020-12-31,106.67,$4.22,25.28
2020-09-30,97.89,$3.82,25.63
2020-06-30,91.69,$3.66,25.05
2020-03-31,74.85,$3.57,20.97
2019-12-31,90.98,$3.61,25.2
2019-09-30,79.56,$3.87,20.56
2019-06-30,74.92,$3.72,20.14
2019-03-31,69.05,$3.36,20.55
2018-12-31,66.48,$3.70,17.97
2018-09-30,77.94,$7.40,10.53
2018-06-30,79.61,$7.27,10.95
2018-03-31,68.2,$6.87,9.93
2017-12-31,84.12,$3.99,21.08
2017-09-30,79.23,$0.17,466.07
2017-06-30,64.68,$0.35,184.81
2017-03-31,61.49,$0.28,219.59
2016-12-31,49.84,$1.56,31.95
2016-09-30,42.47,$-0.09,0.0
2016-06-30,40.55,$-0.70,0.0
2016-03-31,35.22,$4.33,8.13
2015-12-31,34.0,$3.62,9.39
2015-09-30,29.34,$5.72,5.13
2015-06-30,45.25,$6.16,7.35
2015-03-31,49.14,$1.45,33.89
2014-12-31,48.81,$2.29,21.32
2014-09-30,48.82,$1.92,25.43
2014-06-30,60.62,$1.63,37.19
2014-03-31,65.05,$1.68,38.72
2013-12-31,63.99,$2.13,30.04
2013-09-30,60.71,$2.67,22.74
2013-06-30,51.59,$3.19,16.17
2013-03-31,48.08,$3.09,15.56
2012-12-31,49.22,$3.01,16.38
2012-09-30,46.47,$2.82,16.51
2012-06-30,44.81,$2.77,16.18
2012-03-31,44.27,$2.76,16.07
2011-12-31,35.92,$2.55,14.08
2011-09-30,28.82,$1.63,17.68
2011-06-30,35.77,$1.59,22.5
2011-03-31,35.26,$1.30,27.22
2010-12-31,33.1,$1.18,28.17
2010-09-30,28.3,$1.97,14.37
2010-06-30,23.72,$1.60,14.87
2010-03-31,24.95,$1.62,15.45
2009-12-31,22.93,$1.56,14.75
