Labcorp PE Ratio Historical Data,Labcorp PE Ratio Historical Data,Labcorp PE Ratio Historical Data,Labcorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,199.65,,40.17
2024-03-31,218.46,$4.97,43.96
2023-12-31,226.53,$4.67,48.51
2023-09-30,199.69,$7.48,26.7
2023-06-30,238.89,$9.27,25.77
2023-03-31,226.35,$11.02,20.54
2022-12-31,231.64,$13.86,16.71
2022-09-30,200.88,$18.75,10.71
2022-06-30,229.21,$20.90,10.97
2022-03-31,257.1,$21.79,11.8
2021-12-31,306.39,$24.38,12.57
2021-09-30,274.44,$28.17,9.74
2021-06-30,268.99,$29.29,9.18
2021-03-31,248.69,$26.90,9.24
2020-12-31,198.49,$15.81,12.55
2020-09-30,183.59,$8.59,21.37
2020-06-30,161.98,$3.67,44.14
2020-03-31,123.25,$3.23,38.16
2019-12-31,164.96,$8.36,19.73
2019-09-30,163.82,$7.60,21.56
2019-06-30,168.6,$8.45,19.95
2019-03-31,149.17,$8.79,16.97
2018-12-31,123.22,$8.60,14.33
2018-09-30,169.36,$13.85,12.23
2018-06-30,175.06,$12.49,14.02
2018-03-31,157.73,$12.04,13.1
2017-12-31,155.54,$12.21,12.74
2017-09-30,147.21,$7.15,20.59
2017-06-30,150.31,$7.12,21.11
2017-03-31,139.9,$7.21,19.4
2016-12-31,125.19,$6.92,18.09
2016-09-30,134.06,$6.28,21.35
2016-06-30,127.03,$6.06,20.96
2016-03-31,114.22,$5.79,19.73
2015-12-31,120.56,$4.25,28.37
2015-09-30,105.77,$4.53,23.35
2015-06-30,118.2,$4.63,25.53
2015-03-31,122.95,$4.63,26.56
2014-12-31,105.22,$5.93,17.74
2014-09-30,99.22,$5.97,16.62
2014-06-30,99.85,$6.01,16.61
2014-03-31,95.77,$5.99,15.99
2013-12-31,89.1,$6.24,14.28
2013-09-30,96.67,$6.07,15.93
2013-06-30,97.61,$5.97,16.35
2013-03-31,87.96,$5.91,14.88
2012-12-31,84.47,$5.98,14.12
2012-09-30,90.17,$6.06,14.88
2012-06-30,90.31,$5.84,15.46
2012-03-31,89.26,$5.48,16.29
2011-12-31,83.83,$5.08,16.5
2011-09-30,77.08,$5.00,15.42
2011-06-30,94.38,$5.03,18.76
2011-03-31,89.84,$5.29,16.98
2010-12-31,85.73,$5.31,16.15
2010-09-30,76.48,$5.38,14.22
2010-06-30,73.48,$5.25,14.0
2010-03-31,73.83,$5.03,14.68
2009-12-31,72.98,$5.00,14.6
