Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data,Alphabet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,174.99,,26.84
2024-03-31,150.93,$6.52,23.15
2023-12-31,139.69,$5.80,24.08
2023-09-30,130.86,$5.21,25.12
2023-06-30,119.7,$4.72,25.36
2023-03-31,103.73,$4.49,23.1
2022-12-31,88.23,$4.55,19.39
2022-09-30,95.65,$5.04,19.0
2022-06-30,108.96,$5.38,20.27
2022-03-31,139.07,$5.53,25.16
2021-12-31,144.85,$5.41,26.76
2021-09-30,133.68,$4.70,28.46
2021-06-30,122.09,$3.80,32.09
2020-12-31,87.63,$2.94,29.86
2020-09-30,73.28,$2.59,28.32
2020-06-30,70.9,$3.08,23.01
2020-03-31,58.1,$3.08,18.85
2019-12-31,66.97,$3.30,20.3
2021-03-31,103.13,$3.01,34.31
2019-09-30,61.06,$2.33,26.2
2019-06-30,54.14,$2.48,21.86
2019-03-31,58.84,$1.99,29.52
2018-12-31,52.25,$2.19,23.91
2018-09-30,60.35,$1.33,45.41
2018-06-30,56.46,$1.15,48.9
2018-03-31,51.86,$1.18,44.02
2017-12-31,52.67,$0.90,58.65
2017-09-30,48.69,$1.49,32.6
2017-06-30,46.48,$1.38,33.75
2017-03-31,42.39,$1.48,28.7
2016-12-31,39.62,$1.39,28.47
2016-09-30,40.2,$1.37,29.42
2016-06-30,35.18,$1.29,27.26
2016-03-31,38.15,$1.19,32.14
2015-12-31,38.9,$1.15,33.94
2015-09-30,31.86,$1.14,27.98
2015-06-30,27.0,$1.06,25.56
2015-03-31,27.74,$1.06,26.18
2014-12-31,26.53,$1.05,25.34
2014-09-30,29.42,$0.92,31.96
2014-06-30,29.23,$0.95,30.63
2013-12-31,28.1,$0.95,29.48
2013-09-30,21.97,$0.92,23.84
2013-06-30,22.08,$0.95,23.13
2013-03-31,19.92,$0.88,22.64
2012-12-31,17.74,$0.84,21.08
2014-03-31,27.95,$0.85,33.08
2012-09-30,18.92,$0.80,23.7
2012-06-30,14.55,$0.84,17.25
2012-03-31,16.08,$0.83,19.49
2011-12-31,16.2,$0.78,20.71
2011-09-30,12.92,$0.77,16.73
2011-06-30,12.7,$0.73,17.36
2011-03-31,14.71,$0.68,21.56
2010-12-31,14.9,$0.66,22.64
2010-09-30,13.19,$0.62,21.41
2010-06-30,11.16,$0.58,19.36
2010-03-31,14.22,$0.55,25.86
2009-12-31,15.55,$0.51,30.44
