Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data,Wells Fargo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,60.21,,14.3
2024-03-31,57.63,$4.21,13.69
2023-12-31,48.59,$3.86,12.59
2023-09-30,39.99,$3.74,10.69
2022-12-31,39.53,$3.14,12.59
2022-09-30,38.25,$3.85,9.94
2022-06-30,36.99,$4.25,8.7
2022-03-31,45.51,$4.68,9.72
2021-12-31,44.86,$5.18,8.66
2023-06-30,41.45,$4.85,8.55
2021-09-30,43.22,$4.24,10.19
2021-06-30,42.0,$3.49,12.03
2021-03-31,36.15,$1.45,24.93
2020-12-31,27.84,$0.41,67.9
2020-09-30,21.59,$0.37,58.35
2020-06-30,23.41,$0.87,26.91
2020-03-31,25.73,$2.83,9.09
2019-12-31,47.72,$4.02,11.87
2019-09-30,44.32,$4.63,9.57
2019-06-30,41.13,$4.84,8.5
2019-03-31,41.6,$4.52,9.2
2018-12-31,39.31,$4.44,8.85
2018-09-30,44.48,$4.39,10.13
2018-06-30,46.57,$4.10,11.36
2018-03-31,43.7,$4.19,10.43
2017-12-31,50.28,$4.07,12.35
2017-09-30,45.39,$3.87,11.73
2017-06-30,45.28,$4.06,11.15
2017-03-31,45.17,$4.00,11.29
2016-12-31,44.42,$4.03,11.02
2016-09-30,35.4,$4.12,8.59
2016-06-30,37.53,$4.12,9.11
2015-12-31,42.44,$4.15,10.23
2015-09-30,39.82,$4.14,9.62
2015-06-30,43.33,$4.32,10.03
2015-03-31,41.63,$4.31,9.66
2014-12-31,41.67,$4.28,9.74
2023-03-31,36.01,$4.31,8.36
2014-09-30,39.17,$4.08,9.6
2014-06-30,39.42,$4.05,9.73
2014-03-31,37.04,$4.02,9.21
2013-12-31,33.58,$3.89,8.63
2013-09-30,30.35,$3.80,7.99
2013-06-30,30.1,$3.69,8.16
2013-03-31,26.77,$3.53,7.58
2012-12-31,24.56,$3.60,6.82
2012-09-30,24.65,$3.44,7.17
2012-06-30,23.72,$3.29,7.21
2016-03-31,38.05,$3.19,11.93
2012-03-31,24.06,$2.90,8.3
2011-12-31,19.28,$2.82,6.84
2011-09-30,16.8,$2.70,6.22
2011-06-30,19.46,$2.58,7.54
2011-03-31,21.9,$2.43,9.01
2010-12-31,21.32,$2.21,9.65
2010-09-30,17.24,$1.68,10.26
2010-06-30,17.55,$1.64,10.7
2010-03-31,21.3,$1.66,12.83
2009-12-31,18.44,$1.77,10.42
