HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,318.7,,13.83
2024-03-31,333.53,$23.05,14.47
2023-12-31,270.13,$21.03,12.85
2023-09-30,244.93,$19.00,12.89
2022-12-31,237.34,$19.23,12.34
2022-09-30,181.36,$17.70,10.25
2022-06-30,165.4,$18.08,9.15
2022-03-31,245.89,$21.18,11.61
2021-12-31,251.54,$21.40,11.75
2023-06-30,301.5,$19.79,15.24
2021-09-30,237.18,$19.63,12.08
2021-06-30,201.64,$14.58,13.83
2021-03-31,183.27,$15.07,12.16
2020-12-31,159.62,$14.09,11.33
2020-09-30,120.74,$11.65,10.36
2023-03-31,261.41,$12.79,20.44
2020-06-30,94.0,$9.70,9.69
2020-03-31,87.01,$8.79,9.9
2019-12-31,142.66,$10.11,14.11
2019-09-30,115.89,$9.17,12.64
2019-06-30,129.65,$9.72,13.34
2018-12-31,118.64,$10.65,11.14
2018-09-30,132.3,$8.94,14.8
2018-06-30,97.32,$9.76,9.97
2018-03-31,91.69,$8.60,10.66
2017-12-31,82.74,$7.17,11.54
2019-03-31,124.65,$7.61,16.38
2017-09-30,74.97,$7.03,10.66
2017-06-30,82.14,$7.47,11.0
2017-03-31,83.83,$7.37,11.37
2016-12-31,69.73,$7.32,9.53
2016-09-30,71.24,$6.33,11.25
2016-06-30,72.54,$5.79,12.53
2016-03-31,73.52,$5.32,13.82
2015-12-31,63.71,$4.99,12.77
2015-09-30,72.87,$4.78,15.25
2015-06-30,85.46,$4.89,17.48
2015-03-31,70.87,$4.78,14.83
2014-12-31,69.13,$4.18,16.54
2014-09-30,66.43,$3.91,16.99
2014-06-30,53.11,$3.54,15.0
2014-03-31,49.45,$3.38,14.63
2013-12-31,44.94,$3.36,13.38
2013-09-30,40.27,$3.12,12.91
2013-06-30,33.97,$3.11,10.92
2013-03-31,38.27,$3.05,12.55
2012-12-31,28.42,$3.49,8.14
2012-09-30,27.03,$7.06,3.83
2012-06-30,24.74,$6.39,3.87
2012-03-31,20.12,$5.97,3.37
2011-12-31,16.59,$5.31,3.12
