Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data,Hershey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,197.0,,19.52
2024-03-31,193.23,$10.09,19.15
2023-12-31,183.9,$9.05,20.32
2023-09-30,197.36,$9.27,21.29
2023-06-30,244.96,$8.69,28.19
2023-03-31,248.62,$8.24,30.17
2022-12-31,225.3,$7.01,32.14
2022-09-30,213.51,$7.23,29.53
2022-06-30,207.43,$6.74,30.78
2021-12-31,184.88,$7.11,26.0
2021-09-30,160.93,$6.88,23.39
2021-06-30,164.79,$7.31,22.54
2021-03-31,148.95,$8.00,18.62
2020-12-31,142.71,$7.39,19.31
2022-03-31,207.94,$7.29,28.52
2020-09-30,133.56,$5.70,23.43
2020-06-30,120.13,$5.10,23.55
2020-03-31,122.06,$5.29,23.07
2019-12-31,134.75,$5.45,24.72
2019-09-30,141.35,$6.07,23.29
2019-06-30,121.64,$5.78,21.04
2019-03-31,103.64,$5.38,19.26
2018-12-31,96.11,$5.58,17.22
2018-09-30,90.85,$4.83,18.81
2018-06-30,82.29,$4.86,16.93
2018-03-31,86.88,$4.73,18.37
2017-12-31,98.99,$3.66,27.05
2017-09-30,94.63,$3.36,28.16
2017-06-30,92.5,$3.14,29.46
2017-03-31,93.61,$2.87,32.62
2016-12-31,88.12,$3.35,26.3
2016-09-30,80.94,$3.78,21.41
2016-06-30,95.56,$3.42,27.94
2016-03-31,77.05,$2.27,33.94
2015-12-31,74.21,$2.31,32.12
2015-09-30,75.86,$2.24,33.87
2015-06-30,72.87,$2.54,28.69
2015-03-31,82.31,$3.76,21.89
2014-12-31,84.35,$3.77,22.37
2014-09-30,77.02,$3.68,20.93
2014-06-30,78.13,$3.71,21.06
2014-03-31,83.35,$3.66,22.77
2013-12-31,77.28,$3.61,21.41
2013-09-30,73.15,$3.45,21.2
2013-06-30,70.24,$3.19,22.02
2013-03-31,68.54,$3.08,22.25
2012-12-31,56.26,$2.89,19.47
2012-09-30,54.9,$2.85,19.26
2012-06-30,55.5,$2.94,18.88
2012-03-31,46.99,$2.91,16.15
2011-12-31,47.03,$2.74,17.17
2011-09-30,44.83,$2.71,16.54
2011-06-30,42.76,$2.63,16.26
2011-03-31,40.63,$2.27,17.9
2010-12-31,35.01,$2.21,15.84
2010-09-30,35.09,$2.17,16.17
2010-06-30,35.11,$2.10,16.72
2010-03-31,31.14,$2.21,14.09
2009-12-31,25.82,$1.90,13.59
