Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,171.27,,10.07
2024-03-31,197.9,$17.00,11.64
2023-12-31,173.57,$17.99,9.65
2023-09-30,155.45,$19.72,7.88
2023-06-30,162.51,$21.65,7.51
2023-03-31,152.61,$25.51,5.98
2022-12-31,129.78,$28.73,4.52
2022-09-30,104.94,$31.81,3.3
2022-06-30,101.93,$32.59,3.13
2022-03-31,144.44,$27.96,5.17
2021-12-31,110.55,$23.39,4.73
2021-09-30,94.96,$16.72,5.68
2021-06-30,92.12,$10.07,9.15
2021-03-31,76.75,$5.39,14.24
2020-12-31,50.61,$2.36,21.44
2020-09-30,42.36,$1.41,30.04
2020-06-30,38.75,$1.68,23.07
2020-03-31,33.38,$2.58,12.94
2019-12-31,51.56,$4.14,12.45
2019-09-30,46.31,$5.86,7.9
2019-06-30,49.71,$7.09,7.01
2019-03-31,52.26,$7.96,6.57
2018-12-31,46.09,$7.53,6.12
2018-09-30,56.01,$6.29,8.9
2018-06-30,54.84,$5.16,10.63
2017-12-31,55.1,$4.14,13.31
2017-09-30,48.28,$3.44,14.03
2017-06-30,49.52,$3.71,13.35
2017-03-31,50.77,$3.55,14.3
2016-12-31,50.28,$3.17,15.86
2018-03-31,53.28,$2.89,18.44
2016-09-30,41.52,$1.60,25.95
2016-06-30,41.17,$1.47,28.01
2016-03-31,39.11,$1.13,34.61
2015-12-31,33.06,$1.12,29.51
2015-09-30,30.52,$1.96,15.57
2015-06-30,35.46,$2.01,17.64
2015-03-31,37.94,$2.08,18.24
2014-12-31,38.84,$2.22,17.5
2014-09-30,42.66,$2.10,20.31
2014-06-30,38.45,$1.80,21.36
2014-03-31,39.17,$1.61,24.33
2013-12-31,41.06,$1.52,27.02
2013-09-30,37.45,$1.42,26.38
2013-06-30,32.85,$1.31,25.08
2013-03-31,34.71,$1.39,24.97
2012-12-31,32.2,$1.59,20.25
2012-09-30,28.3,$1.59,17.8
2012-06-30,27.77,$1.81,15.34
2012-03-31,31.16,$2.40,12.98
2011-12-31,28.47,$1.90,14.98
2011-09-30,22.55,$1.54,14.65
2011-06-30,29.05,$1.26,23.06
2010-12-31,30.37,$0.42,72.31
2010-09-30,26.26,$0.64,41.03
2010-06-30,26.07,$1.07,24.36
2010-03-31,30.63,$0.68,45.04
2009-12-31,31.24,$0.15,208.27
2011-03-31,32.14,$-0.63,0.0
