Schlumberger PE Ratio Historical Data,Schlumberger PE Ratio Historical Data,Schlumberger PE Ratio Historical Data,Schlumberger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,46.24,,15.36
2024-03-31,54.81,$3.01,18.21
2023-12-31,51.74,$2.92,17.72
2023-09-30,57.68,$2.89,19.96
2023-06-30,48.4,$2.74,17.66
2023-03-31,48.12,$2.69,17.89
2022-12-31,52.15,$2.40,21.73
2022-09-30,34.9,$2.08,16.78
2022-06-30,34.61,$1.84,18.81
2022-03-31,39.82,$1.47,27.09
2021-12-31,28.78,$1.32,21.8
2021-09-30,28.36,$1.17,24.24
2021-06-30,30.49,$0.72,42.35
2021-03-31,25.8,$-2.05,0.0
2020-12-31,20.62,$-7.58,0.0
2020-09-30,14.61,$-7.61,0.0
2020-06-30,17.15,$-15.77,0.0
2020-03-31,12.5,$-12.95,0.0
2019-12-31,36.71,$-7.33,0.0
2019-09-30,30.77,$-7.18,0.0
2019-06-30,35.23,$1.50,23.48
2019-03-31,38.09,$1.46,26.09
2018-12-31,31.19,$1.54,20.25
2018-09-30,52.66,$-0.48,0.0
2018-06-30,57.47,$-0.55,0.0
2018-03-31,55.14,$-0.91,0.0
2017-12-31,56.96,$-1.09,0.0
2017-09-30,58.5,$0.39,150.01
2017-06-30,54.78,$0.13,421.42
2017-03-31,64.52,$-1.38,0.0
2016-12-31,68.93,$-1.18,0.0
2016-09-30,64.19,$-1.84,0.0
2016-06-30,64.14,$-1.19,0.0
2016-03-31,59.43,$1.25,47.55
2015-12-31,55.81,$1.61,34.67
2015-09-30,54.83,$2.65,20.69
2015-06-30,68.08,$3.36,20.26
2015-03-31,65.55,$3.69,17.76
2014-12-31,66.71,$4.14,16.11
2014-09-30,79.05,$5.17,15.29
2014-06-30,91.36,$4.97,18.38
2014-03-31,75.23,$5.33,14.11
2013-12-31,69.22,$5.06,13.68
2013-09-30,67.63,$4.82,14.03
2013-06-30,54.64,$4.60,11.88
2013-03-31,56.86,$4.08,13.94
2012-12-31,52.41,$4.11,12.75
2012-09-30,54.49,$4.14,13.16
2012-06-30,48.72,$4.03,12.09
2012-03-31,52.26,$3.96,13.2
2011-12-31,50.87,$3.68,13.82
2011-09-30,44.32,$3.39,13.07
2011-06-30,63.91,$3.81,16.77
2011-03-31,68.78,$3.51,19.59
2010-12-31,61.41,$3.38,18.17
2010-09-30,45.19,$3.27,13.82
2010-06-30,40.44,$2.54,15.92
2010-03-31,46.2,$2.37,19.49
2009-12-31,47.23,$2.59,18.23
