W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data,W.R Berkley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,79.29,,14.06
2024-03-31,88.44,$5.64,15.68
2023-12-31,70.63,$5.06,13.96
2023-09-30,62.86,$4.96,12.67
2023-06-30,58.42,$4.55,12.84
2023-03-31,60.95,$3.89,15.67
2022-12-31,70.45,$4.95,14.23
2022-09-30,62.61,$4.64,13.49
2022-06-30,66.08,$4.75,13.9
2022-03-31,63.9,$4.96,12.88
2021-12-31,52.63,$3.66,14.38
2021-09-30,46.08,$3.71,12.41
2021-06-30,46.78,$3.32,14.09
2021-03-31,46.96,$2.73,17.22
2020-12-31,41.33,$1.89,21.83
2020-09-30,37.98,$1.19,31.83
2020-06-30,35.52,$1.22,29.11
2020-03-31,32.27,$1.71,18.84
2019-12-31,42.67,$2.35,18.13
2019-09-30,44.05,$2.40,18.37
2019-06-30,40.14,$2.39,16.79
2019-03-31,34.07,$2.27,15.03
2018-12-31,29.67,$2.22,13.38
2018-09-30,31.82,$2.30,13.85
2018-06-30,28.59,$2.30,12.44
2018-03-31,28.65,$2.05,13.95
2017-12-31,28.18,$1.90,14.81
2017-09-30,26.01,$1.90,13.7
2017-06-30,26.89,$2.10,12.79
2017-03-31,27.21,$2.10,12.94
2016-12-31,25.58,$2.09,12.24
2016-09-30,21.97,$1.93,11.36
2016-06-30,22.54,$1.69,13.31
2016-03-31,21.09,$1.74,12.14
2015-12-31,20.5,$1.72,11.92
2015-09-30,20.32,$1.71,11.87
2015-06-30,19.36,$1.82,10.65
2015-03-31,18.79,$2.00,9.41
2014-12-31,19.03,$2.16,8.83
2014-09-30,17.36,$2.20,7.89
2014-06-30,16.78,$2.00,8.39
2014-03-31,15.04,$1.76,8.53
2013-12-31,15.64,$1.58,9.92
2013-09-30,15.42,$1.68,9.15
2013-06-30,14.66,$1.57,9.35
2013-03-31,15.88,$1.54,10.3
2012-12-31,13.48,$1.59,8.47
2012-09-30,13.03,$1.44,9.08
2012-06-30,13.5,$1.36,9.92
2012-03-31,12.5,$1.27,9.83
2011-12-31,11.87,$1.20,9.86
2011-09-30,10.22,$1.22,8.39
2011-06-30,11.14,$1.25,8.92
2011-03-31,11.03,$1.31,8.42
2010-12-31,9.36,$1.29,7.26
2010-09-30,9.23,$1.27,7.26
2010-06-30,9.0,$1.26,7.13
2010-03-31,8.85,$1.21,7.29
2009-12-31,8.34,$0.83,10.08
