NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data,NextEra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,76.61,,20.87
2024-03-31,63.91,$3.67,17.41
2023-12-31,60.18,$3.61,16.67
2023-09-30,56.3,$3.78,14.89
2023-06-30,72.42,$4.04,17.93
2023-03-31,74.76,$3.36,22.25
2022-12-31,80.56,$2.09,38.54
2022-09-30,75.18,$1.94,38.75
2022-06-30,73.91,$1.31,56.42
2022-03-31,80.38,$0.74,108.63
2021-12-31,88.11,$1.81,48.68
2021-09-30,73.78,$1.20,61.48
2021-06-30,68.54,$1.60,42.97
2021-03-31,70.35,$2.11,33.3
2020-12-31,71.41,$1.49,48.01
2020-09-30,63.93,$1.99,32.21
2020-06-30,55.04,$1.81,30.37
2020-03-31,54.85,$1.81,30.39
2019-12-31,54.9,$1.94,28.26
2019-09-30,52.54,$1.67,31.55
2019-06-30,45.93,$1.74,26.4
2019-03-31,43.07,$1.51,28.53
2018-12-31,38.47,$3.49,11.03
2018-09-30,37.1,$4.41,8.42
2018-06-30,36.73,$4.33,8.49
2018-03-31,35.67,$4.34,8.23
2017-12-31,33.87,$2.85,11.89
2017-09-30,31.58,$2.23,14.19
2017-06-30,30.0,$2.18,13.74
2017-03-31,27.29,$2.05,13.3
2016-12-31,25.21,$1.55,16.24
2016-09-30,25.61,$1.31,19.52
2016-06-30,27.11,$1.39,19.51
2016-03-31,24.43,$1.50,16.31
2015-12-31,21.28,$1.52,14.03
2015-09-30,19.83,$1.74,11.38
2015-06-30,19.78,$1.64,12.1
2015-03-31,20.84,$1.52,13.73
2014-12-31,21.13,$1.40,15.09
2014-09-30,18.53,$1.09,17.04
2014-06-30,20.08,$1.12,17.89
2014-03-31,18.59,$1.20,15.46
2013-12-31,16.52,$1.12,14.78
2013-09-30,15.34,$1.19,12.95
2013-06-30,15.47,$1.02,15.17
2013-03-31,14.62,$1.02,14.3
2012-12-31,12.91,$1.14,11.32
2012-09-30,13.0,$1.28,10.14
2012-06-30,12.61,$1.28,9.85
2012-03-31,11.09,$1.26,8.79
2011-12-31,10.94,$1.15,9.56
2011-09-30,9.61,$0.91,10.62
2011-06-30,10.13,$1.10,9.23
2011-03-31,9.62,$1.01,9.57
2010-12-31,8.98,$1.19,7.58
2010-09-30,9.31,$1.24,7.5
2010-06-30,8.26,$1.13,7.3
2010-03-31,8.11,$1.11,7.32
2009-12-31,8.77,$0.99,8.84
