Disney PE Ratio Historical Data,Disney PE Ratio Historical Data,Disney PE Ratio Historical Data,Disney PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,101.76,,79.5
2023-09-30,81.05,$1.28,63.32
2023-06-30,89.28,$1.23,72.59
2023-03-31,100.13,$2.25,44.5
2022-12-31,86.88,$1.82,47.74
2022-09-30,94.33,$1.72,54.84
2022-06-30,94.4,$1.72,54.88
2022-03-31,137.16,$1.45,94.59
2021-12-31,154.89,$1.68,92.2
2021-09-30,169.17,$1.09,155.2
2021-06-30,175.77,$0.61,288.15
2021-03-31,184.52,$-2.50,0.0
2020-12-31,181.18,$-2.74,0.0
2020-09-30,124.08,$-1.59,0.0
2020-06-30,111.51,$-0.62,0.0
2020-03-31,96.6,$2.96,32.64
2019-12-31,144.63,$6.26,23.1
2019-09-30,129.54,$6.96,18.61
2019-06-30,137.95,$7.93,17.4
2019-03-31,109.69,$8.91,12.31
2018-12-31,108.33,$7.31,14.82
2018-09-30,114.63,$8.36,13.71
2018-06-30,101.92,$7.94,12.84
2018-03-31,97.67,$7.50,13.02
2017-12-31,104.55,$5.54,18.87
2017-09-30,95.09,$4.13,23.02
2017-06-30,101.73,$4.55,22.36
2024-03-31,122.36,$4.14,29.56
2017-03-31,108.56,$5.74,18.91
2016-12-31,99.78,$5.54,18.01
2016-09-30,88.24,$5.72,15.43
2016-06-30,92.29,$5.57,16.57
2016-03-31,93.69,$5.43,17.25
2015-12-31,99.14,$5.36,18.5
2015-09-30,95.81,$4.90,19.55
2015-06-30,106.39,$4.81,22.12
2015-03-31,97.77,$4.64,21.07
2014-12-31,87.79,$4.49,19.55
2014-09-30,81.96,$4.25,19.28
2014-06-30,78.93,$4.16,18.97
2014-03-31,73.71,$3.89,18.95
2013-12-31,70.33,$3.64,19.32
2013-09-30,58.64,$3.38,17.35
2013-06-30,57.42,$3.29,17.45
2013-03-31,51.65,$3.29,15.7
2012-12-31,45.28,$3.09,14.65
2012-09-30,46.82,$3.12,15.01
2012-06-30,43.44,$3.02,14.38
2012-03-31,39.21,$2.78,14.1
2011-12-31,33.59,$2.64,12.72
2011-09-30,26.56,$2.52,10.54
2011-06-30,34.38,$2.37,14.51
2011-03-31,37.95,$2.27,16.72
2010-12-31,33.03,$2.26,14.62
2010-09-30,28.83,$2.02,14.27
2010-06-30,27.44,$2.06,13.32
2010-03-31,30.41,$1.90,16.01
2009-12-31,28.09,$1.75,16.05
2009-09-30,23.66,$2.35,10.07
