A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data,A O Smith PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,84.78,,21.96
2024-03-31,89.12,$3.86,23.09
2023-12-31,81.8,$3.70,22.11
2023-09-30,65.32,$2.00,32.66
2023-06-30,71.59,$1.81,39.55
2023-03-31,67.72,$1.58,42.86
2022-12-31,55.78,$1.50,37.18
2022-09-30,47.08,$3.15,14.95
2022-06-30,52.75,$3.26,16.18
2022-03-31,61.34,$3.18,19.29
2021-12-31,82.12,$3.02,27.19
2021-09-30,58.19,$2.89,20.13
2021-06-30,68.41,$2.72,25.15
2021-03-31,63.94,$2.41,26.53
2020-12-31,51.61,$2.13,24.23
2020-09-30,49.47,$1.95,25.37
2020-06-30,43.93,$1.83,24.0
2020-03-31,35.06,$2.02,17.35
2019-12-31,43.93,$2.23,19.7
2019-09-30,43.78,$2.41,18.17
2019-06-30,43.07,$2.49,17.3
2019-03-31,48.51,$2.54,19.1
2018-12-31,38.67,$2.58,14.99
2018-09-30,48.1,$1.97,24.41
2018-06-30,53.14,$1.90,27.97
2018-03-31,56.97,$1.77,32.19
2017-12-31,54.75,$1.70,32.21
2017-09-30,52.97,$2.04,25.97
2017-06-30,50.08,$1.97,25.42
2017-03-31,45.36,$1.93,23.5
2016-12-31,41.86,$1.85,22.69
2016-09-30,43.56,$1.83,23.87
2016-06-30,38.75,$1.77,21.95
2016-03-31,33.46,$1.67,20.03
2015-12-31,33.47,$1.58,21.18
2015-09-30,28.41,$1.43,19.94
2015-06-30,31.29,$1.33,23.52
2015-03-31,28.46,$1.19,23.91
2014-12-31,24.37,$1.10,22.26
2014-06-30,21.29,$1.05,20.28
2014-03-31,19.7,$0.96,20.52
2013-12-31,23.01,$0.92,25.15
2013-09-30,19.24,$0.97,19.94
2013-06-30,15.4,$0.93,16.6
2013-03-31,15.56,$0.90,17.29
2014-09-30,20.37,$0.88,23.21
2012-12-31,13.3,$0.85,15.61
2012-09-30,12.1,$0.81,14.89
2012-06-30,10.24,$1.59,6.43
2012-03-31,9.38,$1.68,5.6
2011-12-31,8.34,$1.64,5.09
2011-09-30,6.63,$1.64,4.04
2011-06-30,8.73,$0.84,10.44
2011-03-31,9.12,$0.66,13.9
2010-12-31,7.81,$0.56,13.96
2010-09-30,7.89,$0.58,13.69
2010-06-30,6.55,$0.52,12.6
2009-12-31,5.87,$0.48,12.27
2009-09-30,5.14,$0.52,9.81
