Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,183.77,,22.97
2024-03-31,189.78,$8.00,23.72
2023-12-31,161.8,$8.48,19.08
2023-09-30,151.36,$8.69,17.42
2023-06-30,129.19,$9.46,13.66
2023-03-31,134.43,$10.42,12.9
2022-12-31,122.69,$11.01,11.14
2022-09-30,106.69,$10.98,9.72
2022-06-30,129.2,$10.81,11.95
2022-03-31,145.45,$9.78,14.87
2021-12-31,126.02,$8.83,14.27
2021-09-30,126.24,$7.85,16.08
2021-06-30,123.55,$6.68,18.5
2021-03-31,121.82,$5.10,23.89
2020-12-31,124.02,$4.84,25.62
2020-09-30,97.35,$4.97,19.59
2020-06-30,88.43,$5.40,16.38
2020-03-31,76.33,$6.85,11.14
2019-12-31,97.45,$7.33,13.29
2019-09-30,91.68,$8.06,11.37
2019-06-30,81.76,$8.35,9.79
2019-03-31,84.55,$8.28,10.21
2018-12-31,70.44,$7.79,9.04
2018-09-30,91.8,$8.47,10.84
2018-06-30,92.91,$7.81,11.9
2018-03-31,93.06,$7.08,13.14
2017-12-31,99.02,$6.77,14.63
2017-06-30,90.52,$5.19,17.44
2017-03-31,74.02,$4.90,15.11
2016-12-31,68.06,$4.75,14.33
2016-09-30,64.73,$4.65,13.92
2016-06-30,52.89,$4.70,11.25
2016-03-31,47.34,$4.63,10.22
2015-12-31,48.93,$4.46,10.97
2015-09-30,46.29,$4.39,10.54
2015-06-30,47.68,$4.14,11.52
2015-03-31,59.18,$3.99,14.83
2014-12-31,58.66,$3.99,14.7
2014-09-30,47.72,$5.32,8.97
2014-06-30,53.15,$5.12,10.38
2014-03-31,52.02,$4.77,10.91
2013-12-31,46.52,$4.47,10.41
2013-09-30,41.7,$2.77,15.05
2013-06-30,35.5,$2.32,15.3
2013-03-31,32.27,$2.12,15.22
2012-12-31,27.47,$1.68,16.35
2012-09-30,25.74,$1.45,17.75
2012-06-30,19.87,$1.46,13.61
2012-03-31,20.63,$1.39,14.84
2011-12-31,17.46,$1.58,11.05
2011-09-30,15.98,$1.72,9.29
2011-06-30,19.05,$2.21,8.62
2011-03-31,19.53,$2.19,8.92
2010-12-31,17.34,$2.01,8.63
2010-09-30,15.46,$2.04,7.58
2010-06-30,14.6,$1.84,7.94
2010-03-31,16.21,$2.54,6.38
2009-12-31,15.06,$2.60,5.79
2009-09-30,13.26,$3.50,3.79
