Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data,Albemarle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,127.59,,46.4
2024-03-31,131.74,$2.75,47.91
2023-12-31,144.0,$13.34,10.79
2023-09-30,169.01,$28.20,5.99
2023-06-30,221.26,$33.24,6.66
2023-03-31,218.85,$31.18,7.02
2022-12-31,214.31,$22.82,9.39
2022-09-30,260.9,$13.19,19.78
2022-06-30,205.9,$2.22,92.75
2022-03-31,217.54,$2.38,91.4
2021-12-31,229.49,$1.07,214.48
2021-09-30,214.6,$1.89,113.54
2021-06-30,164.82,$6.17,26.71
2021-03-31,142.62,$3.35,42.57
2020-12-31,143.65,$3.52,40.81
2020-09-30,86.7,$3.58,24.22
2020-06-30,74.69,$4.12,18.13
2020-03-31,54.25,$4.77,11.37
2019-12-31,69.88,$5.02,13.92
2019-09-30,66.16,$5.38,12.3
2019-06-30,66.65,$5.12,13.02
2019-03-31,77.21,$6.40,12.06
2018-12-31,72.27,$6.32,11.44
2018-09-30,93.21,$3.16,29.5
2018-06-30,87.83,$3.02,29.08
2018-03-31,86.04,$1.21,71.11
2017-12-31,118.26,$0.48,246.37
2017-09-30,125.73,$7.73,16.27
2017-06-30,97.1,$7.80,12.45
2017-03-31,96.92,$4.10,23.64
2016-12-31,78.73,$5.67,13.89
2016-09-30,77.93,$1.92,40.59
2016-06-30,72.01,$1.37,52.56
2016-03-31,57.82,$4.61,12.54
2015-12-31,50.4,$2.99,16.86
2015-09-30,39.44,$1.20,32.87
2015-06-30,49.1,$1.55,31.67
2015-03-31,46.71,$1.37,34.1
2014-12-31,52.87,$1.68,31.47
2014-09-30,51.54,$3.83,13.46
2014-06-30,62.3,$4.01,15.54
2014-03-31,57.65,$4.71,12.24
2013-12-31,54.79,$4.94,11.09
2013-09-30,54.21,$3.45,15.71
2013-06-30,53.45,$3.44,15.54
2013-03-31,53.44,$2.88,18.56
2012-12-31,52.9,$3.14,16.85
2012-09-30,44.71,$3.83,11.67
2012-06-30,50.44,$4.01,12.58
2012-03-31,53.87,$4.82,11.18
2011-12-31,43.28,$4.77,9.07
2011-09-30,33.82,$4.58,7.39
2011-06-30,57.73,$4.32,13.36
2011-03-31,49.73,$3.98,12.5
2010-12-31,46.28,$3.52,13.15
2010-09-30,38.74,$3.28,11.81
2010-06-30,32.75,$2.83,11.57
2010-03-31,35.04,$2.36,14.85
2009-12-31,29.8,$1.95,15.28
