Martin Marietta Materials PE Ratio Historical Data,Martin Marietta Materials PE Ratio Historical Data,Martin Marietta Materials PE Ratio Historical Data,Martin Marietta Materials PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,579.16,,17.16
2024-03-31,613.94,$33.75,18.19
2023-12-31,498.29,$18.83,26.46
2023-09-30,409.31,$17.23,23.76
2023-06-30,459.62,$15.24,30.16
2023-03-31,352.88,$15.49,22.78
2022-12-31,335.29,$13.88,24.16
2022-09-30,318.96,$13.43,23.75
2022-06-30,295.77,$12.77,23.16
2022-03-31,379.75,$10.52,36.1
2021-12-31,433.94,$11.22,38.68
2021-09-30,336.06,$11.65,28.85
2021-06-30,345.48,$12.29,28.11
2021-03-31,329.26,$12.17,27.05
2020-12-31,277.95,$11.54,24.09
2020-09-30,229.88,$10.70,21.48
2020-06-30,201.19,$9.95,20.22
2020-03-31,183.78,$9.47,19.41
2019-12-31,270.93,$10.56,25.66
2019-09-30,265.02,$11.32,23.41
2019-06-30,222.0,$10.28,21.6
2018-12-31,165.03,$7.43,22.21
2018-09-30,174.27,$11.88,14.67
2018-06-30,213.38,$9.71,21.98
2018-03-31,197.68,$9.18,21.53
2017-12-31,210.33,$11.27,18.66
2019-03-31,193.65,$5.99,32.33
2017-09-30,195.82,$6.86,28.55
2017-06-30,210.91,$6.96,30.3
2017-03-31,206.42,$6.61,31.23
2016-12-31,209.12,$6.63,31.54
2016-09-30,168.76,$6.34,26.62
2016-06-30,180.5,$5.59,32.29
2016-03-31,149.64,$4.91,30.48
2015-12-31,127.77,$4.29,29.78
2015-09-30,141.8,$3.98,35.63
2015-06-30,131.74,$3.03,43.48
2015-03-31,129.8,$3.08,42.14
2014-12-31,102.14,$2.54,40.21
2014-09-30,119.0,$2.36,50.42
2014-06-30,121.5,$3.11,39.07
2014-03-31,117.72,$2.73,43.12
2013-12-31,91.36,$2.59,35.27
2013-09-30,89.38,$2.28,39.2
2013-06-30,89.23,$2.10,42.49
2013-03-31,92.16,$2.01,45.85
2012-12-31,84.81,$1.81,46.86
2012-09-30,74.21,$1.67,44.44
2012-06-30,70.21,$1.38,50.87
2012-03-31,75.82,$1.36,55.75
2011-12-31,66.47,$1.78,37.34
2011-09-30,55.42,$1.78,31.13
2011-06-30,69.71,$1.84,37.89
2011-03-31,77.79,$2.24,34.73
2010-12-31,79.66,$2.09,38.12
2010-09-30,66.16,$1.70,38.92
2010-06-30,72.51,$1.80,40.28
2010-03-31,71.11,$1.48,48.05
2009-12-31,75.72,$1.88,40.28
