Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,19.07,,17.34
2024-03-31,18.06,$1.10,16.42
2023-12-31,17.09,$1.07,15.97
2023-09-30,15.79,$1.10,14.35
2023-06-30,16.14,$1.11,14.54
2023-03-31,16.14,$1.13,14.29
2022-12-31,16.42,$1.12,14.66
2022-09-30,14.88,$1.10,13.52
2022-06-30,14.76,$1.07,13.79
2022-03-31,16.4,$0.45,36.44
2021-12-31,13.54,$0.78,17.36
2021-09-30,14.06,$0.77,18.26
2021-06-30,15.08,$0.75,20.11
2021-03-31,13.56,$0.81,16.75
2020-12-31,10.93,$0.05,218.65
2020-09-30,9.65,$0.05,192.96
2020-06-30,11.65,$0.07,166.48
2020-03-31,10.5,$0.58,18.11
2019-12-31,15.79,$0.96,16.44
2019-09-30,15.18,$0.90,16.86
2019-06-30,15.19,$0.99,15.35
2019-03-31,14.38,$0.68,21.15
2018-12-31,10.93,$0.66,16.56
2018-09-30,12.45,$-0.02,0.0
2018-06-30,12.27,$-0.18,0.0
2018-03-31,10.33,$0.05,206.6
2017-12-31,12.31,$0.01,1231.05
2017-09-30,12.98,$0.56,23.17
2017-06-30,12.88,$0.31,41.56
2017-03-31,14.53,$0.31,46.88
2016-12-31,13.77,$0.25,55.06
2016-09-30,15.28,$-0.12,0.0
2016-06-30,12.29,$0.06,204.85
2016-03-31,11.64,$0.06,194.06
2015-12-31,9.65,$0.16,60.3
2015-09-30,17.57,$0.53,33.15
2015-06-30,24.03,$0.72,33.38
2015-03-31,26.04,$0.85,30.64
2014-12-31,25.91,$0.96,26.99
2014-06-30,21.7,$1.15,18.87
2014-03-31,19.2,$1.15,16.69
2013-12-31,21.02,$1.15,18.28
2013-09-30,20.53,$1.14,18.01
2013-06-30,21.79,$1.04,20.95
2013-03-31,21.88,$0.62,35.3
2012-12-31,19.79,$0.35,56.55
2012-09-30,19.69,$0.35,56.27
2012-06-30,17.69,$0.38,46.56
2012-03-31,21.03,$0.72,29.21
2014-09-30,23.21,$0.88,26.38
2011-12-31,17.34,$0.68,25.5
