Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,251.58,,46.94
2024-03-31,235.73,$5.36,43.98
2023-12-31,238.46,$4.21,56.64
2023-09-30,235.5,$3.40,69.27
2023-06-30,225.02,$3.31,67.98
2023-03-31,190.71,$3.20,59.6
2022-12-31,175.03,$5.96,29.37
2022-09-30,168.9,$6.44,26.23
2022-06-30,171.15,$6.48,26.41
2022-03-31,211.81,$6.18,34.27
2021-12-31,225.35,$4.12,54.7
2021-09-30,197.06,$4.37,45.09
2021-06-30,171.67,$4.21,40.78
2020-12-31,203.29,$4.31,47.17
2020-09-30,181.22,$4.04,44.86
2020-06-30,166.2,$3.95,42.08
2020-03-31,135.88,$3.07,44.26
2019-12-31,145.31,$2.93,49.59
2021-03-31,173.32,$2.94,58.95
2019-09-30,153.61,$2.78,55.25
2019-06-30,142.04,$3.57,39.79
2019-03-31,128.76,$3.58,35.97
2018-12-31,105.36,$3.56,29.6
2018-09-30,116.48,$3.91,29.79
2018-06-30,104.01,$3.64,28.57
2018-03-31,100.49,$3.45,29.13
2017-12-31,92.76,$3.30,28.11
2017-09-30,80.38,$2.72,29.55
2017-06-30,81.52,$2.74,29.75
2017-03-31,78.4,$3.55,22.09
2016-12-31,78.43,$3.45,22.73
2016-09-30,78.54,$3.47,22.63
2016-06-30,78.34,$3.50,22.38
2016-03-31,77.22,$2.94,26.27
2015-12-31,74.29,$3.01,24.68
2015-09-30,71.42,$2.93,24.37
2015-06-30,70.3,$2.74,25.66
2015-03-31,68.99,$2.29,30.13
2014-12-31,61.89,$2.36,26.22
2014-09-30,58.84,$2.29,25.69
2014-06-30,57.99,$2.27,25.55
2014-03-31,57.94,$2.24,25.86
2013-12-31,63.5,$2.03,31.28
2013-09-30,62.77,$2.09,30.03
2013-06-30,57.69,$2.01,28.7
2013-03-31,59.54,$1.95,30.53
2012-12-31,49.25,$1.92,25.65
2012-09-30,46.0,$1.82,25.28
2012-06-30,47.6,$1.75,27.2
2012-03-31,45.39,$1.70,26.7
2011-12-31,38.78,$1.63,23.79
2011-09-30,33.6,$1.53,21.96
2011-06-30,33.45,$1.46,22.91
2011-03-31,31.65,$1.39,22.77
2010-12-31,32.93,$1.31,25.14
2010-09-30,27.06,$0.91,29.74
