Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,52.18,,48.31
2024-03-31,53.84,$1.08,49.85
2023-12-31,56.33,$1.26,44.71
2023-09-30,48.28,$1.32,36.58
2023-06-30,57.01,$1.34,42.55
2023-03-31,59.62,$1.42,41.99
2022-12-31,59.03,$1.42,41.57
2022-09-30,53.53,$1.07,50.03
2022-06-30,62.08,$1.06,58.57
2022-03-31,62.35,$1.02,61.13
2021-12-31,63.72,$0.94,67.79
2021-09-30,57.13,$1.26,45.35
2021-06-30,58.19,$0.99,58.78
2021-03-31,54.8,$0.97,56.49
2020-12-31,53.03,$1.15,46.12
2020-09-30,51.22,$1.21,42.33
2020-06-30,49.59,$1.46,33.97
2020-03-31,41.05,$1.46,28.12
2019-12-31,59.96,$1.39,43.14
2019-09-30,61.9,$1.29,47.98
2019-06-30,55.16,$1.31,42.11
2019-03-31,58.26,$1.34,43.48
2018-12-31,49.45,$1.26,39.25
2018-09-30,44.31,$1.19,37.24
2018-06-30,41.42,$1.17,35.4
2018-03-31,39.34,$1.13,34.81
2017-12-31,42.81,$1.11,38.57
2017-09-30,42.45,$1.22,34.79
2017-06-30,40.5,$1.17,34.62
2017-03-31,43.21,$1.14,37.9
2016-12-31,41.29,$1.12,36.86
2016-09-30,47.57,$1.10,43.25
2016-06-30,48.86,$1.09,44.83
2016-03-31,43.62,$1.07,40.76
2015-12-31,35.66,$1.09,32.72
2015-09-30,32.36,$1.10,29.42
2015-06-30,29.95,$1.10,27.23
2015-03-31,34.39,$1.08,31.84
2014-12-31,31.45,$1.04,30.24
2014-09-30,26.58,$0.98,27.12
2014-06-30,28.58,$0.93,30.73
2014-03-31,25.96,$0.93,27.91
2013-12-31,23.41,$1.06,22.09
2013-09-30,24.59,$1.01,24.34
2013-06-30,25.59,$1.00,25.59
2013-03-31,27.36,$1.02,26.82
2012-12-31,23.97,$0.86,27.87
2012-09-30,24.09,$0.91,26.48
2012-06-30,24.35,$0.98,24.84
2012-03-31,22.33,$0.99,22.55
2011-12-31,19.92,$1.04,19.15
2011-09-30,18.06,$1.06,17.04
2011-06-30,18.52,$1.04,17.81
2011-03-31,19.09,$1.02,18.71
2010-12-31,18.45,$1.00,18.45
2010-09-30,17.96,$1.00,17.96
2010-06-30,15.94,$1.01,15.79
2010-03-31,15.92,$1.03,15.46
2009-12-31,13.24,$1.03,12.86
