Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data,Devon Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,48.15,,9.19
2024-03-31,50.18,$5.24,9.58
2023-12-31,44.89,$5.83,7.7
2023-09-30,46.47,$5.85,7.94
2023-06-30,46.64,$7.31,6.38
2023-03-31,48.13,$9.17,5.25
2022-12-31,57.45,$9.12,6.3
2022-09-30,54.92,$9.52,5.77
2022-06-30,49.22,$7.88,6.25
2022-03-31,51.92,$5.33,9.74
2021-12-31,38.03,$4.17,9.12
2021-09-30,30.06,$1.67,18.0
2021-06-30,24.29,$0.18,134.93
2021-03-31,17.97,$-5.02,0.0
2020-12-31,12.85,$-7.04,0.0
2020-09-30,7.64,$-6.50,0.0
2020-03-31,5.35,$-5.06,0.0
2019-12-31,19.84,$-0.98,0.0
2019-09-30,18.32,$3.20,5.72
2019-06-30,21.63,$1.15,18.81
2019-03-31,23.85,$5.10,4.68
2018-12-31,16.99,$5.01,3.39
2020-06-30,8.85,$2.15,4.12
2018-09-30,30.02,$4.28,7.01
2018-06-30,32.97,$-0.43,0.0
2018-03-31,23.8,$1.20,19.83
2017-12-31,30.94,$2.65,11.67
2017-09-30,27.39,$2.93,9.35
2017-06-30,23.81,$4.39,5.42
2017-03-31,31.02,$0.55,56.39
2016-12-31,33.9,$-6.96,0.0
2016-09-30,32.71,$-18.71,0.0
2016-06-30,26.84,$-29.24,0.0
2016-03-31,20.28,$-33.14,0.0
2015-12-31,23.43,$-35.58,0.0
2015-09-30,26.96,$-25.47,0.0
2015-06-30,42.97,$-14.36,0.0
2015-03-31,43.4,$-5.78,0.0
2014-12-31,43.87,$3.89,11.28
2014-09-30,48.65,$5.41,8.99
2014-06-30,56.46,$3.99,14.15
2014-03-31,47.44,$4.03,11.77
2013-12-31,43.71,$-0.06,0.0
2013-09-30,40.65,$-1.46,0.0
2013-06-30,36.38,$-4.31,0.0
2013-03-31,39.4,$-4.81,0.0
2012-12-31,36.21,$-0.54,0.0
2012-09-30,41.94,$1.60,26.21
2012-06-30,40.07,$5.90,6.79
2012-03-31,48.97,$11.20,4.37
2011-12-31,42.57,$11.20,3.8
2011-09-30,37.97,$11.24,3.38
2011-06-30,53.83,$13.53,3.98
2011-03-31,62.54,$8.63,7.25
2010-12-31,53.41,$9.15,5.84
2010-09-30,43.95,$8.98,4.89
2010-06-30,41.25,$4.89,8.43
2009-12-31,49.54,$-5.61,0.0
2009-09-30,45.27,$-4.44,0.0
