IDEXX Laboratories PE Ratio Historical Data,IDEXX Laboratories PE Ratio Historical Data,IDEXX Laboratories PE Ratio Historical Data,IDEXX Laboratories PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,516.5,,50.0
2024-03-31,539.93,$10.33,52.27
2023-12-31,555.05,$10.07,55.12
2023-09-30,437.27,$9.80,44.62
2023-06-30,502.23,$9.42,53.32
2023-03-31,500.08,$8.31,60.18
2022-12-31,407.96,$8.03,50.8
2022-09-30,325.8,$7.87,41.4
2022-06-30,350.73,$7.75,45.26
2022-03-31,547.06,$8.53,64.13
2021-12-31,658.46,$8.27,79.62
2021-09-30,621.9,$8.07,77.06
2021-06-30,631.55,$7.76,81.39
2020-12-31,499.87,$6.71,74.5
2020-09-30,393.11,$5.74,68.49
2020-06-30,330.16,$6.40,51.59
2020-03-31,242.24,$5.92,40.92
2019-12-31,261.13,$6.06,43.09
2021-03-31,489.31,$6.19,79.05
2019-09-30,271.93,$4.82,56.42
2019-06-30,275.33,$4.63,59.47
2019-03-31,223.6,$3.63,61.6
2018-12-31,186.02,$3.25,57.24
2018-09-30,249.66,$3.22,77.53
2017-12-31,156.38,$2.94,53.19
2017-09-30,155.49,$3.09,50.32
2017-06-30,161.42,$3.53,45.73
2017-03-31,154.61,$3.20,48.32
2016-12-31,117.27,$3.17,36.99
2018-06-30,217.94,$3.10,70.3
2016-09-30,112.73,$2.35,47.97
2016-06-30,92.86,$2.21,42.02
2016-03-31,78.32,$2.48,31.58
2015-12-31,72.92,$2.57,28.37
2015-09-30,74.29,$2.58,28.79
2018-03-31,191.39,$2.37,80.76
2015-06-30,64.14,$1.88,34.21
2015-03-31,77.24,$1.83,42.32
2014-12-31,74.14,$1.78,41.65
2014-09-30,58.92,$1.92,30.68
2014-06-30,66.79,$1.84,36.4
2014-03-31,60.7,$1.78,34.1
2013-12-31,53.19,$1.74,30.57
2013-09-30,49.83,$1.72,28.97
2013-06-30,44.85,$1.67,26.85
2013-03-31,46.2,$1.63,28.34
2012-12-31,46.4,$1.59,29.27
2012-09-30,49.68,$1.53,32.47
2012-06-30,48.07,$1.48,32.48
2012-03-31,43.73,$1.44,30.36
2011-12-31,38.48,$1.39,27.68
2011-09-30,34.49,$1.37,25.26
2011-06-30,38.78,$1.33,29.27
2011-03-31,38.61,$1.22,31.65
2010-12-31,34.61,$1.19,29.21
2010-09-30,30.86,$1.13,27.31
2010-06-30,30.45,$1.10,27.68
2010-03-31,28.78,$1.07,27.02
2009-12-31,26.73,$1.01,26.59
