DaVita PE Ratio Historical Data,DaVita PE Ratio Historical Data,DaVita PE Ratio Historical Data,DaVita PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,138.54,,17.02
2024-03-31,138.05,$8.14,16.96
2023-12-31,104.76,$6.23,16.82
2023-09-30,94.53,$5.74,16.47
2023-03-31,81.11,$5.42,14.96
2022-12-31,74.67,$5.78,12.92
2022-09-30,82.77,$6.83,12.12
2022-06-30,79.96,$7.61,10.51
2022-03-31,113.11,$7.67,14.75
2021-12-31,113.76,$8.70,13.08
2023-06-30,100.47,$9.00,11.16
2021-09-30,116.26,$8.59,13.53
2021-06-30,120.43,$7.51,16.04
2021-03-31,107.77,$6.49,16.61
2020-12-31,117.4,$6.29,18.66
2020-09-30,85.65,$6.67,12.84
2020-06-30,79.14,$6.34,12.48
2020-03-31,76.06,$6.36,11.96
2019-12-31,75.03,$5.37,13.97
2019-09-30,57.07,$2.59,22.03
2019-06-30,56.26,$0.82,68.61
2019-03-31,54.29,$0.71,76.46
2018-12-31,51.46,$0.79,65.14
2018-09-30,71.63,$3.33,21.51
2018-06-30,69.44,$3.01,23.07
2018-03-31,65.94,$2.13,30.96
2017-12-31,72.25,$3.44,21.0
2017-09-30,59.39,$2.60,22.84
2017-06-30,64.76,$6.50,9.96
2017-03-31,67.97,$6.11,11.12
2016-12-31,64.2,$3.79,16.94
2016-09-30,66.07,$3.99,16.56
2016-06-30,77.32,$2.01,38.47
2015-12-31,69.71,$1.23,56.67
2015-09-30,72.33,$2.22,32.58
2015-06-30,79.47,$1.69,47.02
2015-03-31,81.28,$1.76,46.18
2014-12-31,75.74,$2.96,25.59
2016-03-31,73.38,$2.85,25.75
2014-09-30,73.14,$3.37,21.7
2014-06-30,72.32,$3.16,22.89
2014-03-31,68.85,$3.67,18.79
2013-12-31,63.37,$2.96,21.45
2013-09-30,56.9,$2.72,20.92
2013-06-30,60.4,$2.83,21.34
2013-03-31,59.3,$2.14,27.71
2012-12-31,55.27,$2.73,20.24
2012-09-30,51.81,$2.76,18.8
2012-06-30,49.11,$2.72,18.09
2012-03-31,45.09,$2.74,16.48
2011-12-31,37.91,$2.49,15.25
2011-09-30,31.34,$2.06,15.25
2011-06-30,43.31,$1.92,22.55
2011-03-31,42.76,$1.93,22.21
2010-12-31,34.75,$1.97,17.68
2010-09-30,34.52,$2.15,16.09
2010-06-30,31.22,$2.10,14.87
2010-03-31,31.7,$2.09,15.17
2009-12-31,29.37,$2.03,14.47
