Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data,Ralph Lauren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,173.45,,20.8
2024-03-31,187.76,$8.34,22.51
2023-12-31,143.62,$8.82,16.28
2023-09-30,115.03,$7.83,14.69
2023-06-30,121.39,$7.82,15.52
2023-03-31,114.17,$7.59,15.04
2022-12-31,102.73,$7.45,13.79
2022-09-30,81.98,$7.18,11.42
2022-06-30,85.8,$7.57,11.33
2022-03-31,107.66,$8.02,13.42
2021-12-31,112.13,$6.67,16.81
2021-09-30,104.11,$5.35,19.46
2021-06-30,109.8,$2.25,48.8
2021-03-31,114.14,$-1.68,0.0
2020-12-31,96.14,$-4.05,0.0
2020-09-30,62.99,$-1.25,0.0
2020-06-30,67.21,$1.62,41.49
2020-03-31,61.93,$4.84,12.8
2019-12-31,107.64,$8.61,12.5
2019-09-30,87.16,$5.68,15.35
2019-06-30,102.94,$5.41,19.03
2019-03-31,116.81,$5.25,22.25
2018-12-31,92.75,$5.36,17.3
2018-09-30,122.56,$2.88,42.55
2018-06-30,111.51,$2.56,43.56
2018-03-31,98.68,$1.97,50.09
2017-12-31,91.11,$-1.01,0.0
2017-09-30,77.2,$0.97,79.59
2017-06-30,64.17,$-0.23,0.0
2017-03-31,70.48,$-1.22,0.0
2016-12-31,77.53,$1.75,44.3
2016-09-30,86.34,$2.31,37.38
2016-06-30,76.11,$3.62,21.03
2016-03-31,81.3,$4.62,17.6
2015-12-31,93.67,$5.54,16.91
2015-09-30,98.84,$6.41,15.42
2015-06-30,110.21,$6.80,16.21
2015-03-31,109.09,$7.87,13.86
2014-12-31,153.03,$8.14,18.8
2014-09-30,135.82,$8.30,16.36
2014-06-30,132.13,$8.28,15.96
2014-03-31,131.95,$8.42,15.67
2013-12-31,144.35,$8.11,17.8
2013-09-30,134.33,$7.85,17.11
2013-06-30,141.33,$7.91,17.87
2013-03-31,137.09,$8.00,17.14
2012-12-31,121.1,$7.62,15.89
2012-09-30,121.83,$7.09,17.18
2012-06-30,112.53,$7.26,15.5
2012-03-31,139.66,$7.13,19.59
2011-12-31,110.5,$6.88,16.06
2011-09-30,103.64,$6.82,15.2
2011-06-30,105.82,$6.45,16.41
2011-03-31,98.52,$5.76,17.1
2010-12-31,88.23,$6.15,14.35
2010-09-30,71.42,$5.53,12.91
2010-06-30,57.92,$5.19,11.16
2010-03-31,67.42,$4.74,14.22
2009-12-31,64.13,$4.05,15.83
