LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,98.54,,15.23
2024-03-31,102.28,$6.47,15.81
2023-12-31,93.9,$6.47,14.51
2023-09-30,92.3,$6.98,13.22
2023-06-30,88.36,$6.44,13.72
2023-03-31,89.06,$9.24,9.64
2022-12-31,77.81,$11.80,6.59
2022-09-30,69.59,$12.91,5.39
2022-06-30,79.76,$16.41,4.86
2022-03-31,88.5,$17.56,5.04
2021-12-31,78.47,$16.74,4.69
2021-09-30,78.86,$17.11,4.61
2021-06-30,85.5,$12.19,7.01
2021-03-31,85.64,$7.00,12.23
2020-12-31,74.72,$4.24,17.62
2020-09-30,56.78,$3.52,16.13
2020-06-30,52.14,$6.04,8.63
2020-03-31,38.83,$7.80,4.98
2019-12-31,72.85,$9.57,7.61
2019-09-30,68.21,$9.53,7.16
2019-06-30,64.75,$9.53,6.79
2019-03-31,62.39,$11.05,5.65
2018-12-31,51.9,$11.97,4.34
2018-09-30,63.23,$14.97,4.22
2018-06-30,67.15,$14.79,4.54
2018-03-31,64.06,$13.38,4.79
2017-12-31,66.26,$12.25,5.41
2017-09-30,58.98,$9.33,6.32
2017-06-30,49.75,$8.96,5.55
2017-03-31,53.17,$8.71,6.1
2016-12-31,49.56,$9.10,5.45
2016-09-30,46.15,$9.01,5.12
2016-06-30,42.1,$9.27,4.54
2016-03-31,47.91,$9.53,5.03
2015-12-31,48.17,$9.57,5.03
2015-09-30,45.82,$9.33,4.91
2015-06-30,56.35,$9.22,6.11
2015-03-31,47.43,$8.63,5.5
2014-12-31,42.54,$7.94,5.36
2014-09-30,57.78,$8.51,6.79
2014-06-30,51.61,$7.56,6.83
2014-03-31,46.65,$6.94,6.72
2013-12-31,41.82,$6.77,6.18
2013-09-30,37.85,$5.75,6.58
2013-06-30,34.02,$5.71,5.96
2013-03-31,32.25,$5.43,5.94
2012-12-31,28.89,$4.92,5.87
2012-09-30,24.45,$3.45,7.09
2012-06-30,18.9,$3.50,5.4
2012-03-31,20.27,$3.55,5.71
2011-12-31,15.0,$3.66,4.1
2011-09-30,9.73,$5.58,1.74
2011-06-30,15.25,$4.91,3.11
2011-03-31,15.62,$3.53,4.43
