Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data,Citigroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,63.58,,18.81
2024-03-31,62.7,$3.38,18.55
2023-12-31,50.52,$3.99,12.66
2023-09-30,39.89,$6.31,6.32
2023-06-30,44.14,$6.31,7.0
2023-03-31,44.48,$7.17,6.2
2022-12-31,42.48,$7.00,6.07
2022-09-30,38.7,$7.30,5.3
2022-06-30,42.29,$7.82,5.41
2022-03-31,48.59,$8.48,5.73
2021-12-31,54.53,$10.08,5.41
2021-09-30,62.91,$10.70,5.88
2021-06-30,62.94,$9.95,6.33
2021-03-31,64.26,$7.60,8.46
2020-12-31,53.99,$5.03,10.73
2020-09-30,37.29,$5.10,7.31
2020-06-30,43.76,$5.77,7.58
2020-03-31,35.67,$7.22,4.94
2019-12-31,67.19,$8.04,8.36
2019-09-30,57.7,$7.53,7.66
2019-06-30,58.05,$7.19,8.07
2019-03-31,51.58,$6.87,7.51
2018-12-31,42.85,$-2.15,0.0
2018-09-30,58.65,$-2.37,0.0
2018-06-30,54.38,$-2.82,0.0
2017-12-31,59.93,$-3.10,0.0
2017-09-30,58.33,$5.19,11.24
2017-06-30,53.38,$5.01,10.66
2017-03-31,47.62,$4.97,9.58
2016-12-31,47.17,$4.72,9.99
2016-09-30,37.37,$4.60,8.12
2016-06-30,33.42,$4.71,7.09
2016-03-31,32.88,$4.98,6.6
2015-12-31,40.7,$5.39,7.55
2015-09-30,38.98,$4.43,8.8
2015-06-30,43.37,$4.15,10.45
2015-03-31,40.41,$2.70,14.97
2014-12-31,42.43,$2.42,17.53
2014-09-30,40.63,$3.21,12.66
2014-06-30,36.92,$3.14,11.76
2014-03-31,37.3,$4.42,8.44
2013-12-31,40.83,$4.42,9.24
2013-09-30,38.0,$3.95,9.62
2013-06-30,37.57,$3.10,12.12
2013-03-31,34.64,$2.71,12.78
2012-12-31,30.97,$2.43,12.74
2012-09-30,25.61,$3.73,6.87
2012-06-30,21.44,$3.96,5.42
2012-03-31,28.59,$4.24,6.74
2018-03-31,54.59,$4.38,12.46
2011-12-31,20.57,$3.70,5.56
2011-09-30,20.02,$3.72,5.38
2011-06-30,32.54,$3.19,10.2
2011-03-31,34.53,$3.00,11.51
2010-12-31,36.95,$3.50,10.56
2010-09-30,30.55,$-0.00,0.0
2010-06-30,29.37,$-3.40,0.0
2010-03-31,31.64,$0.60,52.73
2009-12-31,25.86,$-2.70,0.0
