CDW PE Ratio Historical Data,CDW PE Ratio Historical Data,CDW PE Ratio Historical Data,CDW PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,231.06,,28.85
2024-03-31,255.1,$8.01,31.85
2023-12-31,226.15,$8.10,27.92
2023-09-30,200.15,$8.01,24.99
2023-06-30,181.5,$7.86,23.09
2023-03-31,192.09,$7.98,24.07
2022-12-31,175.51,$8.13,21.59
2022-09-30,152.92,$7.61,20.09
2022-06-30,153.95,$7.35,20.95
2022-03-31,174.24,$7.24,24.07
2021-12-31,198.88,$7.04,28.25
2021-09-30,176.33,$7.12,24.76
2021-06-30,168.84,$6.54,25.82
2021-03-31,159.86,$5.92,27.0
2020-12-31,126.79,$5.45,23.27
2020-09-30,114.66,$5.07,22.62
2020-06-30,111.07,$5.11,21.74
2020-03-31,88.86,$5.13,17.32
2019-12-31,135.68,$4.99,27.19
2019-09-30,116.74,$4.77,24.47
2019-06-30,104.87,$4.60,22.8
2019-03-31,90.79,$4.39,20.68
2018-12-31,76.12,$4.19,18.17
2018-09-30,83.23,$4.40,18.92
2018-06-30,75.44,$4.03,18.72
2018-03-31,65.48,$3.80,17.23
2017-12-31,64.53,$3.33,19.38
2017-09-30,61.09,$2.70,22.63
2017-06-30,57.73,$2.63,21.95
2017-03-31,53.13,$2.44,21.78
2016-12-31,47.83,$2.55,18.76
2016-09-30,41.86,$2.44,17.16
2016-06-30,36.6,$2.56,14.3
2016-03-31,37.8,$2.49,15.18
2015-12-31,38.19,$2.35,16.25
2015-09-30,37.03,$2.13,17.38
2015-06-30,31.01,$1.57,19.75
2015-03-31,33.63,$1.44,23.35
2014-12-31,31.7,$1.42,22.32
2014-09-30,27.93,$1.47,19.0
2014-06-30,28.64,$1.14,25.12
2014-03-31,24.61,$0.96,25.64
