Dollar Tree PE Ratio Historical Data,Dollar Tree PE Ratio Historical Data,Dollar Tree PE Ratio Historical Data,Dollar Tree PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,115.37,,0.0
2024-01-31,130.62,$-4.62,0.0
2023-10-31,111.09,$5.27,21.08
2023-07-31,154.33,$5.50,28.06
2023-04-30,153.71,$6.19,24.83
2023-01-31,150.18,$7.21,20.83
2022-10-31,158.5,$7.18,22.08
2022-07-31,165.36,$6.94,23.83
2022-04-30,162.45,$6.57,24.73
2022-01-31,131.22,$5.80,22.62
2021-10-31,107.76,$5.92,18.2
2021-07-31,99.79,$6.35,15.71
2021-04-30,114.9,$6.22,18.47
2021-01-31,101.66,$5.66,17.96
2020-10-31,90.32,$4.05,22.3
2020-07-31,93.35,$3.74,24.96
2020-04-30,79.67,$3.40,23.43
2020-01-31,87.07,$3.48,25.02
2019-10-31,110.4,$-6.70,0.0
2019-07-31,101.75,$-6.60,0.0
2019-04-30,111.28,$-6.21,0.0
2019-01-31,96.83,$-6.66,0.0
2018-10-31,84.3,$7.37,11.44
2018-07-31,91.28,$7.20,12.68
2018-04-30,95.89,$7.03,13.64
2018-01-31,115.0,$7.21,15.95
2017-10-31,91.25,$4.20,21.73
2017-07-31,72.08,$3.91,18.43
2017-04-30,82.77,$3.65,22.68
2017-01-31,77.19,$3.78,20.42
2016-10-31,75.55,$3.39,22.29
2016-07-31,96.29,$3.02,31.88
2016-04-30,79.71,$1.84,43.32
2016-01-31,81.32,$1.20,67.77
2015-10-31,65.49,$1.23,53.24
2015-07-31,78.03,$1.52,51.34
2015-04-30,76.41,$2.57,29.73
2015-01-31,71.1,$2.90,24.52
2014-10-31,60.57,$2.92,20.74
2014-07-31,54.47,$2.86,19.05
2014-04-30,52.07,$2.83,18.4
2014-01-31,50.52,$2.75,18.37
2013-10-31,58.4,$2.74,21.31
2013-07-31,53.65,$2.84,18.89
2013-04-30,47.56,$2.79,17.05
2013-01-31,39.99,$2.70,14.81
2012-10-31,39.87,$2.49,16.01
2012-07-31,50.34,$2.25,22.42
2012-04-30,50.83,$2.15,23.7
2012-01-31,42.4,$2.29,18.52
2011-10-31,39.98,$1.86,21.55
2011-04-30,28.75,$1.73,16.67
2011-01-31,25.29,$1.56,16.23
2010-10-31,25.66,$1.42,18.07
2010-07-31,22.16,$1.44,15.39
2010-04-30,20.24,$1.39,14.58
2010-01-31,16.51,$1.36,12.18
2011-07-31,33.12,$1.07,31.0
2009-10-31,15.04,$1.07,14.1
