Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,133.34,,9.16
2024-03-31,148.23,$14.56,10.18
2023-12-31,117.73,$14.59,8.07
2023-09-30,106.51,$15.59,6.83
2023-06-30,107.77,$17.15,6.28
2023-03-31,111.42,$18.78,5.93
2022-12-31,95.92,$20.79,4.61
2022-09-30,69.42,$22.67,3.06
2022-06-30,64.41,$22.49,2.86
2022-03-31,80.83,$19.37,4.17
2021-12-31,59.89,$15.69,3.82
2021-09-30,56.19,$11.09,5.07
2021-06-30,57.02,$6.71,8.5
2021-03-31,48.35,$3.75,12.89
2020-12-31,34.94,$2.60,13.44
2020-09-30,26.95,$2.27,11.87
2020-06-30,24.34,$2.49,9.78
2020-03-31,20.83,$3.00,6.94
2019-12-31,31.1,$3.03,10.26
2019-09-30,27.04,$3.64,7.43
2019-06-30,27.18,$4.64,5.86
2019-03-31,31.49,$5.30,5.94
2018-12-31,26.64,$5.35,4.98
2018-09-30,39.82,$5.46,7.29
2018-06-30,40.32,$4.41,9.14
2018-03-31,38.65,$3.51,11.01
2017-12-31,37.53,$3.37,11.14
2017-09-30,29.89,$2.17,13.77
2017-06-30,30.91,$2.17,14.25
2017-03-31,29.87,$2.12,14.09
2016-12-31,30.44,$1.56,19.51
2016-09-30,21.3,$0.44,48.4
2016-06-30,20.77,$0.05,415.33
2016-03-31,18.97,$-0.40,0.0
2015-12-31,14.96,$-0.53,0.0
2015-09-30,14.28,$0.32,44.62
2015-06-30,17.08,$0.45,37.95
2015-03-31,16.47,$0.63,26.14
2014-12-31,16.06,$0.67,23.97
2014-09-30,18.28,$1.10,16.62
2014-06-30,14.44,$0.97,14.89
2014-03-31,14.22,$0.79,18.0
2013-12-31,15.52,$0.83,18.7
2013-09-30,13.21,$0.86,15.36
2013-06-30,11.7,$0.67,17.46
2013-03-31,12.36,$0.74,16.71
2012-12-31,10.62,$0.73,14.55
2012-09-30,8.63,$0.60,14.38
2012-06-30,8.92,$0.73,12.22
2012-03-31,10.97,$0.96,11.43
2011-12-31,9.85,$1.22,8.08
2011-09-30,7.38,$1.12,6.59
2011-06-30,11.96,$1.02,11.73
2011-03-31,13.73,$0.81,16.95
2010-12-31,13.32,$0.64,20.81
2010-09-30,10.23,$0.72,14.21
2010-06-30,9.51,$0.93,10.23
2010-03-31,12.53,$0.63,19.89
2009-12-31,12.66,$-0.14,0.0
