Southern PE Ratio Historical Data,Southern PE Ratio Historical Data,Southern PE Ratio Historical Data,Southern PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,77.75,,20.09
2024-03-31,71.1,$3.87,18.37
2023-12-31,68.77,$3.63,18.94
2023-09-30,62.84,$2.77,22.69
2023-06-30,67.51,$2.83,23.86
2023-03-31,66.24,$3.10,21.37
2022-12-31,67.29,$3.28,20.52
2022-09-30,63.42,$3.16,20.07
2022-06-30,65.93,$2.84,23.22
2022-03-31,66.43,$2.16,30.75
2021-12-31,62.19,$2.26,27.52
2021-09-30,55.6,$2.83,19.65
2021-06-30,53.75,$2.97,18.1
2021-03-31,54.66,$3.20,17.08
2020-12-31,53.45,$2.95,18.12
2020-09-30,46.71,$3.00,15.57
2020-06-30,44.14,$3.08,14.33
2020-03-31,45.53,$3.36,13.55
2019-12-31,53.1,$4.55,11.67
2019-09-30,50.98,$4.40,11.59
2019-06-30,45.14,$4.28,10.55
2019-03-31,41.72,$3.27,12.76
2018-12-31,35.02,$2.19,15.99
2018-09-30,34.33,$2.41,14.24
2018-06-30,36.0,$2.34,15.38
2018-03-31,34.24,$1.12,30.57
2017-12-31,36.39,$0.85,42.81
2017-09-30,36.76,$0.56,65.65
2017-06-30,35.39,$0.67,52.82
2017-03-31,36.37,$2.72,13.37
2016-12-31,35.53,$2.59,13.72
2016-09-30,36.62,$2.69,13.61
2016-06-30,37.88,$2.56,14.8
2016-03-31,36.13,$2.57,14.06
2015-12-31,32.32,$2.60,12.43
2015-09-30,30.5,$2.63,11.6
2015-06-30,28.25,$2.38,11.87
2015-03-31,29.49,$2.37,12.44
2014-12-31,32.34,$2.20,14.7
2014-09-30,28.42,$2.34,12.15
2014-06-30,29.2,$2.51,11.63
2014-03-31,27.95,$2.17,12.88
2013-12-31,25.82,$1.87,13.81
2013-09-30,25.55,$1.84,13.89
2013-06-30,27.07,$1.98,13.67
2013-03-31,28.48,$2.35,12.12
2012-12-31,25.7,$2.68,9.59
2012-09-30,27.38,$2.54,10.78
2012-06-30,27.22,$2.50,10.89
2012-03-31,26.13,$2.50,10.45
2011-12-31,26.64,$2.58,10.32
2011-09-30,24.12,$2.46,9.8
2011-06-30,22.71,$2.37,9.58
2011-03-31,21.18,$2.28,9.29
2010-12-31,20.99,$2.38,8.82
2010-09-30,20.21,$2.51,8.05
2010-06-30,17.83,$2.52,7.07
2010-03-31,17.53,$2.51,6.99
2009-12-31,17.38,$2.07,8.4
