MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data,MetLife PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,72.54,,24.93
2024-03-31,73.55,$2.91,25.27
2023-12-31,65.11,$1.83,35.58
2023-09-30,61.4,$2.72,22.58
2023-06-30,54.73,$2.57,21.3
2023-03-31,55.56,$2.22,25.03
2022-12-31,68.91,$2.93,23.52
2022-09-30,57.48,$2.66,21.61
2022-06-30,58.92,$4.02,14.66
2022-03-31,65.44,$7.72,8.48
2021-12-31,57.79,$7.32,7.89
2021-09-30,56.66,$6.07,9.33
2021-06-30,54.5,$4.99,10.92
2021-03-31,54.96,$1.23,44.68
2020-12-31,42.07,$5.65,7.45
2020-09-30,32.92,$6.09,5.41
2020-06-30,31.95,$7.70,4.15
2020-03-31,26.39,$9.40,2.81
2019-12-31,43.62,$6.05,7.21
2019-09-30,39.99,$7.51,5.32
2019-06-30,41.71,$6.09,6.85
2019-03-31,35.42,$5.15,6.88
2018-12-31,33.85,$4.94,6.85
2018-09-30,38.16,$4.87,7.84
2018-06-30,35.28,$3.91,9.02
2018-03-31,36.8,$3.85,9.56
2017-12-31,40.21,$3.41,11.79
2017-09-30,41.01,$-0.50,0.0
2017-06-30,38.49,$0.09,427.7
2017-03-31,36.73,$-0.62,0.0
2016-12-31,37.18,$0.61,60.96
2016-09-30,30.4,$3.25,9.35
2016-06-30,26.98,$3.80,7.1
2016-03-31,29.49,$4.66,6.33
2015-12-31,32.07,$4.55,7.05
2015-09-30,31.13,$5.15,6.04
2015-06-30,36.72,$5.90,6.22
2015-03-31,32.91,$6.15,5.35
2014-12-31,34.97,$5.42,6.45
2014-09-30,34.51,$4.89,7.06
2014-06-30,35.45,$3.92,9.04
2014-03-31,33.45,$3.18,10.52
2013-12-31,33.97,$2.91,11.67
2013-09-30,29.41,$2.23,13.19
2013-06-30,28.5,$0.47,60.64
2013-03-31,23.52,$2.16,10.89
2012-12-31,20.28,$1.13,17.95
2012-09-30,20.74,$2.10,9.88
2012-06-30,18.57,$6.35,2.92
2012-03-31,22.48,$5.36,4.19
2011-12-31,18.77,$6.30,2.98
2011-09-30,16.5,$5.29,3.12
2011-06-30,25.84,$2.28,11.33
2011-03-31,26.35,$2.99,8.81
2010-12-31,26.18,$3.18,8.23
2010-09-30,22.26,$3.48,6.4
2010-06-30,21.86,$2.37,9.22
2010-03-31,25.09,$-1.21,0.0
2009-12-31,20.46,$-2.89,0.0
