Jacobs Solutions PE Ratio Historical Data,Jacobs Solutions PE Ratio Historical Data,Jacobs Solutions PE Ratio Historical Data,Jacobs Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,140.5,,27.12
2024-03-31,153.73,$5.18,29.68
2023-12-31,129.8,$5.60,23.18
2023-09-30,136.5,$5.29,25.8
2023-06-30,118.89,$5.80,20.5
2023-03-31,117.51,$6.03,19.49
2022-12-31,120.07,$5.01,23.97
2022-09-30,108.49,$4.98,21.79
2022-06-30,126.92,$3.56,35.65
2022-03-31,137.35,$2.87,47.86
2021-12-31,138.5,$2.27,61.01
2021-09-30,131.63,$3.20,41.13
2021-06-30,132.31,$3.49,37.91
2021-03-31,128.0,$4.53,28.26
2020-12-31,107.7,$3.76,28.64
2020-09-30,91.5,$2.84,32.22
2020-06-30,83.46,$6.02,13.86
2020-03-31,77.81,$4.56,17.06
2019-09-30,89.47,$6.11,14.64
2019-06-30,82.35,$4.91,16.77
2019-03-31,73.21,$3.02,24.24
2018-12-31,56.78,$3.66,15.51
2018-09-30,74.3,$3.14,23.66
2019-12-31,88.0,$3.32,26.51
2018-06-30,61.41,$2.19,28.04
2018-03-31,57.08,$1.88,30.36
2017-12-31,63.5,$1.78,35.67
2017-09-30,55.95,$2.33,24.01
2017-06-30,52.08,$2.09,24.92
2016-09-30,49.25,$1.73,28.47
2016-06-30,47.43,$1.73,27.42
2016-03-31,41.47,$1.57,26.42
2015-12-31,39.95,$1.76,22.7
2015-09-30,35.64,$2.02,17.65
2017-03-31,52.78,$2.55,20.7
2015-06-30,38.68,$2.79,13.86
2015-03-31,43.01,$2.55,16.86
2014-12-31,42.56,$2.54,16.75
2014-09-30,46.49,$2.48,18.75
2014-06-30,50.74,$2.67,19.0
2014-03-31,60.47,$3.01,20.09
2013-12-31,59.98,$3.18,18.86
2013-09-30,55.4,$2.97,18.65
2013-06-30,52.5,$2.89,18.17
2013-03-31,53.56,$2.89,18.53
2016-12-31,54.28,$2.85,19.05
2012-12-31,40.54,$3.00,13.51
2012-09-30,38.5,$2.94,13.1
2012-06-30,36.05,$2.85,12.65
2012-03-31,42.25,$2.80,15.09
2011-12-31,38.64,$2.78,13.9
2011-09-30,30.75,$2.60,11.83
2011-06-30,41.19,$2.47,16.67
2011-03-31,48.98,$1.91,25.64
2010-12-31,43.66,$1.90,22.98
2010-09-30,36.85,$1.96,18.8
2010-06-30,34.7,$1.98,17.53
2010-03-31,43.03,$2.59,16.62
2009-12-31,35.82,$2.85,12.57
