Vertex Pharmaceuticals PE Ratio Historical Data,Vertex Pharmaceuticals PE Ratio Historical Data,Vertex Pharmaceuticals PE Ratio Historical Data,Vertex Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,456.95,,29.65
2024-03-31,418.01,$15.41,27.13
2023-12-31,406.89,$13.89,29.29
2023-09-30,347.74,$13.33,26.09
2023-06-30,351.91,$12.95,27.17
2023-03-31,315.07,$12.56,25.09
2022-12-31,288.78,$12.83,22.51
2022-09-30,289.54,$12.68,22.83
2022-06-30,281.79,$12.37,22.78
2022-03-31,260.97,$9.50,27.47
2021-12-31,219.6,$9.03,24.32
2021-09-30,181.39,$8.33,21.78
2021-06-30,201.63,$7.58,26.6
2021-03-31,214.89,$10.50,20.47
2020-12-31,236.34,$10.30,22.95
2020-09-30,272.12,$10.23,26.6
2020-06-30,290.31,$7.92,36.66
2020-03-31,237.95,$5.77,41.24
2019-12-31,218.95,$9.45,23.17
2019-09-30,169.42,$7.72,21.95
2019-06-30,183.38,$8.30,22.09
2018-12-31,165.71,$8.08,20.51
2018-09-30,192.74,$2.50,77.1
2018-06-30,169.96,$1.59,106.89
2018-03-31,162.98,$0.86,189.51
2017-12-31,149.86,$1.04,144.1
2017-09-30,152.04,$0.78,194.92
2017-06-30,128.87,$1.02,126.34
2017-03-31,109.35,$0.69,158.48
2016-12-31,73.67,$-0.61,0.0
2016-09-30,87.21,$-1.13,0.0
2016-06-30,86.02,$-1.74,0.0
2015-12-31,125.83,$-2.31,0.0
2015-09-30,104.14,$-2.74,0.0
2015-06-30,123.48,$-2.52,0.0
2015-03-31,117.97,$-2.46,0.0
2014-12-31,118.8,$-2.31,0.0
2016-03-31,79.49,$-2.57,0.0
2014-09-30,112.31,$-2.21,0.0
2014-06-30,94.68,$-2.03,0.0
2014-03-31,70.72,$-0.32,0.0
2013-12-31,74.3,$0.42,176.9
2013-09-30,75.82,$-1.20,0.0
2019-03-31,183.95,$-1.01,0.0
2013-06-30,80.06,$-2.31,0.0
2013-03-31,54.97,$-2.36,0.0
2012-12-31,41.9,$-0.19,0.0
2012-09-30,55.89,$1.18,47.36
2012-06-30,55.92,$0.60,93.2
2011-12-31,33.21,$0.04,830.25
2011-09-30,44.46,$-1.60,0.0
2011-06-30,51.99,$-2.19,0.0
2011-03-31,47.93,$-2.38,0.0
2010-12-31,35.03,$-2.51,0.0
2012-03-31,41.01,$-2.44,0.0
2010-09-30,34.57,$-3.72,0.0
2010-06-30,32.9,$-3.52,0.0
2010-03-31,40.87,$-3.51,0.0
2009-12-31,42.85,$-3.72,0.0
