Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data,Jabil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,119.6,,10.27
2024-02-29,143.99,$11.65,12.36
2023-11-30,115.18,$5.86,19.65
2023-08-31,114.21,$6.00,19.03
2023-05-31,89.29,$7.10,12.58
2023-02-28,82.73,$6.90,11.99
2022-11-30,71.86,$6.89,10.43
2022-08-31,59.95,$6.91,8.68
2022-05-31,61.09,$5.82,10.5
2022-02-28,57.33,$5.42,10.58
2021-11-30,57.89,$4.90,11.82
2021-08-31,61.11,$4.58,13.34
2021-05-31,55.76,$3.86,14.45
2021-02-28,42.58,$2.40,17.74
2020-11-30,37.63,$1.39,27.07
2020-08-31,33.55,$0.34,98.68
2020-05-31,29.33,$0.24,122.2
2020-02-29,31.32,$0.86,36.42
2019-11-30,37.88,$1.31,28.92
2019-08-31,28.04,$1.81,15.49
2019-05-31,23.93,$1.13,21.18
2019-02-28,27.56,$1.10,25.06
2018-11-30,24.16,$0.88,27.46
2018-08-31,28.51,$0.47,60.67
2018-05-31,27.2,$1.06,25.66
2018-02-28,25.98,$0.67,38.78
2017-11-30,27.59,$0.57,48.39
2017-08-31,29.89,$0.69,43.32
2017-05-31,28.45,$0.64,44.45
2017-02-28,24.19,$0.81,29.87
2016-11-30,19.99,$1.11,18.01
2016-08-31,19.96,$1.32,15.12
2016-05-31,17.9,$1.57,11.4
2016-02-29,19.47,$1.91,10.19
2015-11-30,23.79,$1.77,13.44
2015-08-31,17.93,$1.46,12.28
2015-05-31,22.68,$0.88,25.77
2015-02-28,20.21,$1.44,14.03
2014-11-30,19.02,$0.98,19.4
2014-08-31,19.7,$1.18,16.7
2014-05-31,17.11,$1.92,8.91
2014-02-28,16.76,$1.23,13.62
2013-11-30,18.27,$1.85,9.88
2013-08-31,20.49,$1.79,11.45
2013-05-31,17.95,$1.57,11.44
2013-02-28,16.69,$1.81,9.22
2012-11-30,16.87,$1.84,9.17
2012-08-31,20.13,$1.87,10.76
2012-05-31,16.84,$2.00,8.42
2012-02-29,22.65,$1.99,11.38
2011-11-30,17.72,$1.78,9.95
2011-08-31,14.67,$1.73,8.48
2011-05-31,18.71,$1.48,12.64
2011-02-28,18.52,$1.25,14.81
2010-11-30,13.02,$1.14,11.42
2010-08-31,8.79,$0.78,11.27
2010-05-31,11.67,$0.54,21.61
2010-02-28,12.87,$0.16,80.43
2009-11-30,11.24,$-0.18,0.0
