Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data,Hewlett Packard Enterprise PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,18.41,,12.7
2024-01-31,15.18,$1.45,10.47
2023-10-31,15.15,$1.54,9.84
2023-07-31,16.99,$0.82,20.73
2023-04-30,13.9,$0.78,17.82
2023-01-31,15.53,$0.65,23.89
2022-10-31,13.64,$0.66,20.66
2022-07-31,13.49,$2.80,4.82
2022-04-30,14.48,$2.78,5.21
2022-01-31,15.23,$2.78,5.48
2021-10-31,13.56,$2.56,5.3
2021-07-31,13.31,$0.77,17.28
2021-04-30,14.59,$0.49,29.77
2021-01-31,11.15,$-0.34,0.0
2020-10-31,7.73,$-0.26,0.0
2020-07-31,8.72,$-0.02,0.0
2020-04-30,8.79,$-0.05,0.0
2020-01-31,12.05,$0.89,13.53
2019-10-31,14.08,$0.77,18.29
2019-07-31,12.33,$-0.11,0.0
2019-04-30,13.46,$0.20,67.31
2019-01-31,13.27,$0.39,34.04
2018-10-31,12.89,$1.15,11.21
2018-07-31,12.96,$1.99,6.51
2018-04-30,14.21,$1.80,7.89
2018-01-31,13.61,$0.94,14.48
2017-10-31,11.49,$0.21,54.74
2017-07-31,14.39,$0.07,205.55
2017-04-30,15.25,$1.29,11.82
2017-01-31,13.92,$1.84,7.56
2016-10-31,13.75,$1.83,7.51
