Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data,Chubb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,264.76,,11.75
2024-03-31,259.13,$22.53,11.5
2023-12-31,225.25,$21.83,10.32
2023-09-30,206.68,$16.93,12.21
2023-06-30,190.4,$13.92,13.68
2023-03-31,191.14,$12.46,15.34
2022-12-31,216.22,$12.52,17.27
2022-09-30,177.57,$14.34,12.38
2022-06-30,191.1,$16.58,11.53
2022-03-31,207.03,$18.78,11.02
2021-12-31,186.39,$19.26,9.68
2021-09-30,166.59,$19.65,8.48
2021-06-30,151.96,$18.10,8.4
2021-03-31,150.28,$12.31,12.21
2020-12-31,145.75,$7.79,18.71
2020-09-30,109.4,$5.02,21.79
2020-06-30,118.5,$4.77,24.84
2020-03-31,103.91,$8.00,12.99
2019-12-31,143.72,$9.70,14.82
2019-09-30,148.33,$7.89,18.8
2019-06-30,134.7,$8.15,16.53
2019-03-31,127.46,$8.41,15.16
2018-12-31,116.92,$8.46,13.82
2018-09-30,120.25,$10.97,10.96
2018-06-30,113.7,$8.18,13.9
2018-03-31,121.71,$8.19,14.86
2017-12-31,129.38,$8.20,15.78
2017-09-30,125.6,$8.34,15.06
2017-06-30,127.46,$11.37,11.21
2017-03-31,118.87,$10.14,11.72
2016-12-31,114.69,$8.81,13.02
2016-09-30,108.51,$7.48,14.51
2016-06-30,112.26,$6.22,18.05
2016-03-31,101.77,$7.55,13.48
2015-12-31,99.25,$8.62,11.51
2015-09-30,87.34,$8.20,10.65
2015-06-30,85.32,$8.90,9.59
2015-03-31,92.95,$8.31,11.18
2014-12-31,95.21,$8.40,11.33
2014-09-30,86.41,$9.64,8.96
2014-06-30,84.4,$9.98,8.46
2014-03-31,80.62,$10.29,7.83
2013-12-31,83.72,$10.92,7.67
2013-09-30,75.33,$10.24,7.36
2013-06-30,70.94,$9.44,7.51
2013-03-31,70.19,$7.81,8.99
2012-12-31,62.61,$7.88,7.94
2012-09-30,58.95,$7.86,7.5
2012-06-30,57.05,$5.91,9.65
2012-03-31,56.33,$6.72,8.38
2011-12-31,53.27,$4.64,11.48
2011-09-30,46.03,$5.36,8.59
2011-06-30,49.71,$7.42,6.7
2011-03-31,48.6,$7.63,6.37
2010-12-31,46.52,$9.09,5.12
2010-09-30,43.3,$8.98,4.82
2010-06-30,37.81,$8.47,4.46
2010-03-31,38.41,$8.07,4.76
2009-12-31,36.8,$7.54,4.88
