Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data,Parker-Hannifin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,529.83,,24.97
2024-03-31,554.18,$21.22,26.12
2023-12-31,458.05,$20.20,22.68
2023-09-30,385.92,$18.01,21.43
2023-06-30,385.02,$16.00,24.06
2023-03-31,330.28,$11.55,28.6
2022-12-31,284.87,$9.68,29.43
2022-09-30,236.17,$9.61,24.58
2022-06-30,238.67,$10.08,23.68
2022-03-31,273.85,$12.93,21.18
2021-12-31,305.97,$13.85,22.09
2021-09-30,268.1,$14.29,18.76
2021-06-30,293.46,$13.31,22.05
2021-03-31,300.43,$11.74,25.59
2020-12-31,258.63,$10.98,23.55
2020-09-30,191.4,$9.14,20.94
2020-06-30,172.63,$9.27,18.62
2020-03-31,121.51,$10.17,11.95
2019-12-31,191.98,$10.48,18.32
2019-09-30,167.72,$11.27,14.88
2019-06-30,157.0,$11.46,13.7
2019-03-31,157.68,$10.91,14.45
2018-12-31,136.39,$10.47,13.03
2018-09-30,167.46,$8.52,19.65
2018-06-30,141.28,$7.83,18.04
2018-03-31,154.37,$7.36,20.97
2017-12-31,179.46,$6.41,28.0
2017-09-30,156.81,$7.78,20.16
2017-06-30,142.59,$7.23,19.72
2017-03-31,142.44,$6.85,20.79
2016-12-31,123.83,$6.47,19.14
2016-09-30,110.48,$6.02,18.35
2016-06-30,94.62,$5.88,16.09
2016-03-31,96.73,$5.38,17.98
2015-12-31,83.93,$6.03,13.92
2015-09-30,83.7,$6.50,12.88
2015-06-30,99.46,$6.94,14.33
2015-03-31,101.03,$7.65,13.21
2014-12-31,109.11,$7.23,15.09
2014-09-30,96.12,$7.09,13.56
2014-06-30,105.43,$6.85,15.39
2014-03-31,99.99,$6.65,15.04
2013-12-31,107.0,$6.73,15.9
2013-09-30,90.09,$6.26,14.39
2013-06-30,78.7,$6.22,12.65
2013-03-31,75.19,$6.40,11.75
2012-12-31,69.52,$6.73,10.33
2012-09-30,67.95,$7.10,9.57
2012-06-30,62.19,$7.44,8.36
2012-03-31,68.07,$7.27,9.36
2011-12-31,61.11,$6.94,8.81
2011-09-30,50.38,$6.77,7.44
2011-06-30,71.21,$6.37,11.18
2011-03-31,74.82,$5.94,12.6
2010-12-31,67.96,$5.20,13.07
2010-09-30,54.97,$4.45,12.35
2010-06-30,43.33,$3.39,12.78
2010-03-31,50.38,$2.34,21.53
2009-12-31,41.75,$1.73,24.13
