IBM PE Ratio Historical Data,IBM PE Ratio Historical Data,IBM PE Ratio Historical Data,IBM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,170.89,,19.35
2024-03-31,189.06,$8.83,21.41
2023-12-31,160.48,$8.13,19.74
2023-09-30,136.12,$7.54,18.05
2023-06-30,128.33,$2.16,59.41
2023-03-31,124.02,$1.97,62.96
2022-12-31,131.67,$1.76,74.81
2022-09-30,109.72,$1.37,80.09
2022-06-30,128.75,$6.16,20.9
2022-03-31,117.12,$6.10,19.2
2021-12-31,118.94,$6.35,18.73
2021-09-30,116.48,$5.29,22.02
2021-06-30,121.49,$5.93,20.49
2021-03-31,109.21,$5.98,18.26
2020-12-31,101.81,$6.23,16.34
2020-09-30,97.03,$8.83,10.99
2020-06-30,95.07,$8.81,10.79
2020-03-31,86.17,$10.10,8.53
2019-12-31,103.03,$10.57,9.75
2019-09-30,110.48,$8.61,12.83
2019-06-30,103.57,$9.68,10.7
2019-03-31,104.72,$9.48,11.05
2018-12-31,83.38,$9.51,8.77
2018-09-30,109.52,$6.22,17.61
2018-06-30,100.1,$6.20,16.15
2018-03-31,108.74,$6.07,17.91
2017-12-31,107.64,$6.11,17.62
2017-09-30,100.78,$11.97,8.42
2017-06-30,105.74,$12.03,8.79
2017-03-31,118.54,$12.16,9.75
2016-12-31,112.11,$12.40,9.04
2016-09-30,106.32,$12.27,8.67
2016-06-30,100.72,$12.30,8.19
2016-03-31,99.56,$13.19,7.55
2015-12-31,89.55,$13.45,6.66
2015-09-30,93.45,$14.37,6.5
2015-06-30,103.99,$11.38,9.14
2015-03-31,101.83,$12.00,8.49
2014-12-31,101.08,$11.94,8.47
2014-09-30,118.79,$12.16,9.77
2014-06-30,112.77,$15.82,7.13
2014-03-31,119.06,$14.61,8.15
2013-12-31,115.38,$15.02,7.68
2013-09-30,113.31,$14.42,7.86
2013-06-30,116.36,$14.07,8.27
2013-03-31,129.27,$14.50,8.91
2012-12-31,115.6,$14.41,8.02
2012-09-30,124.64,$13.90,8.97
2012-06-30,117.01,$13.76,8.5
2012-03-31,124.3,$13.42,9.26
2011-12-31,109.12,$13.12,8.32
2011-09-30,103.36,$12.68,8.15
2011-06-30,100.94,$12.31,8.2
2011-03-31,95.53,$11.92,8.01
2010-12-31,85.64,$11.58,7.4
2010-09-30,77.93,$10.99,7.09
2010-06-30,71.38,$10.57,6.75
2010-03-31,73.75,$10.28,7.17
2009-12-31,74.94,$10.01,7.49
