Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data,Church & Dwight PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,106.47,,33.8
2024-03-31,104.03,$3.15,33.03
2023-12-31,94.03,$3.04,30.93
2023-09-30,90.85,$1.75,51.91
2023-06-30,99.09,$1.80,55.05
2023-03-31,87.16,$1.67,52.19
2022-12-31,79.21,$1.68,47.15
2022-09-30,69.95,$2.99,23.4
2022-06-30,90.46,$3.15,28.72
2022-03-31,96.76,$3.26,29.68
2021-12-31,99.53,$3.31,30.07
2021-09-30,79.96,$3.26,24.53
2021-06-30,82.28,$3.19,25.79
2021-03-31,84.1,$3.07,27.39
2020-12-31,83.73,$3.11,26.92
2020-09-30,89.7,$3.10,28.93
2020-06-30,73.8,$2.87,25.72
2020-03-31,61.08,$2.67,22.87
2019-12-31,66.73,$2.45,27.24
2019-09-30,71.14,$2.44,29.15
2019-06-30,68.87,$2.40,28.7
2019-03-31,66.94,$2.34,28.61
2018-12-31,61.58,$2.27,27.13
2018-09-30,55.41,$3.30,16.79
2018-06-30,49.42,$3.24,15.25
2018-03-31,46.6,$3.04,15.33
2017-12-31,46.22,$2.92,15.83
2017-09-30,44.45,$1.74,25.55
2017-06-30,47.42,$1.69,28.06
2017-03-31,45.41,$1.83,24.88
2016-12-31,40.08,$1.75,22.97
2016-09-30,43.29,$1.74,24.95
2016-06-30,46.39,$1.72,27.05
2016-03-31,41.49,$1.57,26.51
2015-12-31,38.12,$1.54,24.84
2015-09-30,37.53,$1.52,24.77
2015-06-30,36.16,$1.49,24.27
2015-03-31,37.91,$1.54,24.62
2014-12-31,34.84,$1.51,23.15
2014-09-30,30.88,$1.44,21.45
2014-06-30,30.65,$1.40,21.97
2014-03-31,30.12,$1.38,21.91
2013-12-31,28.77,$1.39,20.7
2013-09-30,26.01,$1.35,19.27
2013-06-30,26.67,$1.30,20.51
2013-03-31,27.87,$1.28,21.86
2012-12-31,23.04,$1.23,18.81
2012-09-30,23.17,$1.16,19.97
2012-06-30,23.75,$1.10,21.59
2012-03-31,21.01,$1.11,19.02
2011-12-31,19.5,$1.06,18.35
2011-09-30,18.8,$1.01,18.7
2011-06-30,17.21,$0.98,17.65
2011-03-31,16.82,$0.95,17.75
2010-12-31,14.61,$0.94,15.59
2010-09-30,13.74,$0.96,14.31
2010-06-30,13.26,$0.97,13.74
2010-03-31,14.15,$0.91,15.55
2009-12-31,12.77,$0.85,14.98
