Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data,Omnicom Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,95.11,,13.74
2023-12-31,85.85,$6.92,12.41
2023-09-30,73.32,$6.88,10.66
2023-06-30,92.8,$6.61,14.04
2023-03-31,91.34,$6.56,13.92
2022-12-31,78.35,$7.13,10.99
2024-03-31,96.76,$5.87,16.48
2022-09-30,60.06,$6.23,9.64
2022-06-30,59.91,$6.11,9.81
2022-03-31,79.15,$6.03,13.13
2021-12-31,67.71,$6.53,10.37
2021-09-30,66.3,$6.42,10.33
2021-06-30,72.48,$6.22,11.65
2021-03-31,66.63,$4.51,14.77
2020-12-31,55.53,$4.37,12.71
2020-09-30,43.61,$4.42,9.87
2020-06-30,47.5,$4.29,11.07
2020-03-31,47.2,$6.08,7.76
2019-12-31,68.92,$6.06,11.37
2019-09-30,66.06,$5.94,11.12
2019-06-30,68.58,$5.94,11.54
2019-03-31,60.59,$5.40,11.22
2018-12-31,60.26,$5.32,11.33
2018-09-30,55.51,$4.68,11.86
2018-03-31,58.33,$4.76,12.25
2017-12-31,57.98,$4.64,12.5
2017-09-30,58.49,$5.02,11.65
2017-06-30,64.98,$4.95,13.13
2017-03-31,67.12,$4.91,13.67
2016-12-31,65.84,$4.79,13.74
2016-09-30,65.34,$4.67,13.99
2016-06-30,62.24,$5.21,11.95
2016-03-31,63.16,$4.82,13.1
2015-12-31,57.05,$5.18,11.01
2018-06-30,61.71,$4.66,13.24
2015-09-30,49.36,$4.36,11.32
2015-06-30,51.66,$4.34,11.9
2015-03-31,57.58,$3.85,14.96
2014-12-31,56.84,$4.15,13.7
2014-09-30,50.2,$3.59,13.98
2014-03-31,52.18,$3.73,13.99
2013-12-31,53.17,$3.72,14.29
2013-09-30,45.1,$3.72,12.12
2013-06-30,44.43,$3.72,11.94
2013-03-31,41.35,$3.65,11.33
2012-12-31,34.83,$3.61,9.65
2012-09-30,35.73,$3.44,10.39
2012-06-30,33.49,$3.94,8.5
2012-03-31,34.69,$3.64,9.53
2011-12-31,30.34,$3.88,7.82
2014-06-30,51.55,$3.61,14.28
2011-09-30,24.92,$3.20,7.79
2011-06-30,32.36,$3.05,10.61
2011-03-31,32.79,$2.88,11.38
2010-12-31,30.45,$2.71,11.24
2010-09-30,26.14,$2.61,10.02
2010-06-30,22.6,$2.57,8.79
2010-03-31,25.43,$2.54,10.01
2009-12-31,25.52,$2.56,9.97
