Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data,Cummins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,284.91,,20.86
2024-03-31,292.92,$13.66,21.44
2023-12-31,236.65,$5.18,45.69
2023-09-30,224.0,$19.62,11.42
2023-06-30,238.63,$17.85,13.37
2023-03-31,230.83,$17.74,13.01
2022-12-31,232.65,$15.11,15.4
2022-09-30,194.19,$13.41,14.48
2022-06-30,183.41,$14.28,12.84
2022-03-31,193.0,$13.44,14.36
2021-12-31,203.91,$14.59,13.98
2021-09-30,208.59,$15.22,13.7
2021-06-30,225.06,$14.89,15.11
2021-03-31,237.92,$12.65,18.81
2020-12-31,207.37,$11.99,17.3
2020-09-30,191.71,$10.60,18.09
2020-06-30,156.32,$11.21,13.94
2020-03-31,121.08,$13.62,8.89
2019-12-31,158.88,$14.41,11.03
2019-09-30,143.38,$16.07,8.92
2019-06-30,149.68,$16.38,9.14
2019-03-31,136.93,$15.43,8.87
2018-12-31,115.06,$13.19,8.72
2018-09-30,124.79,$7.91,15.78
2018-06-30,112.74,$6.34,17.78
2018-03-31,136.39,$5.55,24.58
2017-12-31,147.68,$5.95,24.82
2017-09-30,139.58,$9.85,14.17
2017-06-30,133.82,$8.86,15.1
2017-03-31,123.9,$8.73,14.19
2016-12-31,111.24,$8.24,13.5
2016-09-30,103.52,$6.91,14.98
2016-06-30,90.1,$7.33,12.29
2016-03-31,87.33,$7.55,11.57
2015-12-31,69.22,$7.82,8.85
2015-09-30,84.56,$9.34,9.05
2015-06-30,101.39,$9.52,10.65
2015-03-31,106.56,$9.33,11.42
2014-12-31,110.19,$9.02,12.22
2014-09-30,100.33,$8.90,11.27
2014-06-30,116.67,$8.48,13.76
2014-03-31,112.19,$8.25,13.6
2013-12-31,105.68,$7.91,13.36
2013-09-30,99.13,$7.61,13.03
2013-06-30,80.51,$7.57,10.64
2013-03-31,85.61,$7.84,10.92
2012-12-31,79.74,$8.73,9.13
2012-09-30,67.52,$9.57,7.06
2012-06-30,70.62,$10.06,7.02
2012-03-31,87.13,$10.19,8.55
2011-12-31,63.68,$9.56,6.66
2011-09-30,58.83,$8.54,6.89
2011-06-30,74.2,$7.63,9.72
2011-03-31,78.4,$6.28,12.48
2010-12-31,78.5,$5.28,14.87
2010-09-30,64.45,$4.80,13.43
2010-06-30,46.19,$3.84,12.03
2010-03-31,43.83,$2.87,15.27
2009-12-31,32.34,$2.16,14.97
