Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,46.19,,51.9
2024-03-31,46.12,$0.89,51.82
2023-12-31,43.37,$0.88,49.29
2023-09-30,36.93,$0.83,44.49
2023-06-30,42.24,$0.79,53.46
2023-03-31,36.89,$0.77,47.91
2022-12-31,35.79,$0.74,48.36
2022-09-30,33.86,$0.70,48.37
2022-06-30,34.0,$0.67,50.75
2022-03-31,34.03,$0.67,50.79
2021-12-31,33.11,$0.71,46.63
2021-09-30,34.02,$0.71,47.91
2021-06-30,32.86,$0.68,48.33
2021-03-31,33.0,$0.63,52.11
2020-12-31,37.38,$0.53,70.53
2020-09-30,34.44,$0.51,67.97
2020-06-30,26.9,$0.43,62.07
2020-03-31,22.89,$0.41,55.37
2019-12-31,20.94,$0.42,49.85
2019-09-30,21.43,$0.42,51.02
2019-06-30,22.49,$0.47,47.73
2019-03-31,26.02,$0.47,55.23
2018-12-31,22.5,$0.48,47.32
2018-09-30,25.11,$0.44,57.64
2018-06-30,21.7,$0.40,53.65
2018-03-31,21.0,$0.38,54.93
2017-12-31,19.09,$0.36,52.37
2017-09-30,18.84,$0.37,50.45
2017-06-30,16.58,$0.37,44.94
2017-03-31,15.08,$0.36,42.4
2016-12-31,13.67,$0.34,39.95
2016-09-30,11.78,$0.33,35.32
2016-06-30,11.73,$0.32,36.14
2016-03-31,10.83,$0.32,33.84
2015-12-31,10.3,$0.32,32.65
2015-09-30,10.61,$0.31,34.13
2015-06-30,11.24,$0.30,37.38
2015-03-31,9.71,$0.29,33.44
2014-12-31,8.63,$0.28,30.67
2014-09-30,7.59,$0.28,27.54
2014-06-30,7.75,$0.27,29.05
2014-03-31,7.78,$0.26,30.19
2013-12-31,7.77,$0.25,30.83
2013-09-30,6.77,$0.24,27.88
2013-06-30,6.6,$0.23,28.17
2013-03-31,6.23,$0.23,27.31
2012-12-31,5.57,$0.23,24.43
2012-09-30,5.88,$0.23,26.13
2012-06-30,5.61,$0.22,25.58
2012-03-31,5.31,$0.21,24.91
2011-12-31,5.53,$0.20,27.04
2011-09-30,4.64,$0.20,23.37
2011-06-30,5.03,$0.19,26.41
2011-03-31,5.0,$0.18,27.19
2010-12-31,4.84,$0.18,26.22
2010-09-30,3.81,$0.19,19.88
2010-06-30,3.36,$0.19,17.52
2009-12-31,3.1,$0.17,18.47
2009-09-30,3.02,$0.16,18.41
