ServiceNow PE Ratio Historical Data,ServiceNow PE Ratio Historical Data,ServiceNow PE Ratio Historical Data,ServiceNow PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,738.51,,78.99
2024-03-31,762.4,$9.35,81.54
2023-12-31,706.49,$8.41,84.01
2023-09-30,558.96,$7.72,72.4
2023-06-30,561.97,$6.94,80.98
2023-03-31,464.72,$1.96,237.1
2022-12-31,388.27,$1.60,242.67
2022-09-30,377.61,$0.99,381.42
2022-06-30,475.52,$0.91,522.55
2022-03-31,556.89,$1.10,506.26
2021-12-31,649.11,$1.14,569.39
2021-09-30,622.27,$1.09,570.89
2021-06-30,549.55,$0.84,654.23
2021-03-31,500.11,$0.75,666.81
2020-12-31,550.43,$0.58,949.02
2020-09-30,485.0,$3.53,137.39
2020-06-30,405.06,$3.68,110.07
2020-03-31,286.58,$3.42,83.8
2019-12-31,282.32,$3.17,89.06
2019-09-30,253.85,$0.18,1410.28
2019-06-30,274.57,$0.01,27457.0
2019-03-31,246.49,$-0.23,0.0
2018-12-31,178.05,$-0.16,0.0
2018-09-30,195.63,$-0.36,0.0
2018-06-30,172.47,$-0.54,0.0
2018-03-31,165.45,$-0.57,0.0
2017-12-31,130.39,$-0.87,0.0
2017-09-30,117.53,$-0.91,0.0
2017-06-30,106.0,$-0.99,0.0
2017-03-31,87.47,$-0.96,0.0
2016-12-31,74.34,$-2.78,0.0
2016-09-30,79.15,$-2.81,0.0
2016-06-30,66.4,$-2.85,0.0
2016-03-31,61.18,$-2.95,0.0
2015-12-31,86.56,$-1.27,0.0
2015-09-30,69.45,$-1.34,0.0
2015-06-30,74.31,$-1.36,0.0
2015-03-31,78.78,$-1.31,0.0
2014-12-31,67.85,$-1.23,0.0
2014-09-30,58.78,$-1.10,0.0
2014-06-30,61.96,$-0.93,0.0
2014-03-31,59.92,$-0.74,0.0
2013-12-31,56.01,$-0.54,0.0
2013-09-30,51.95,$-0.45,0.0
2013-06-30,40.39,$-0.45,0.0
2013-03-31,36.2,$-0.61,0.0
