Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data,Ameren PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,71.34,,16.4
2024-03-31,73.96,$4.35,17.0
2023-12-31,71.68,$4.37,16.4
2023-09-30,73.55,$4.40,16.72
2023-06-30,79.63,$4.27,18.65
2023-03-31,83.6,$4.17,20.05
2022-12-31,85.4,$4.14,20.63
2022-09-30,76.85,$3.99,19.26
2022-06-30,85.66,$3.90,21.96
2022-03-31,88.32,$3.90,22.65
2021-12-31,83.29,$3.84,21.69
2021-09-30,75.32,$3.82,19.72
2021-06-30,73.95,$3.64,20.32
2021-03-31,74.69,$3.82,19.55
2020-12-31,71.13,$3.50,20.32
2020-09-30,71.58,$3.42,20.93
2020-06-30,63.29,$3.42,18.5
2020-03-31,65.08,$3.16,20.59
2019-12-31,68.22,$3.35,20.36
2019-09-30,70.64,$3.25,21.73
2019-06-30,66.28,$3.23,20.52
2019-03-31,64.49,$3.48,18.53
2018-12-31,57.2,$2.46,23.25
2018-09-30,55.06,$3.36,16.39
2018-06-30,52.63,$2.70,19.49
2017-12-31,50.18,$2.15,23.34
2017-09-30,48.84,$2.52,19.38
2017-06-30,45.83,$2.86,16.02
2017-03-31,45.4,$2.68,16.94
2016-12-31,43.28,$2.69,16.09
2016-09-30,40.21,$2.68,15.0
2016-06-30,43.44,$2.57,16.9
2016-03-31,40.27,$2.57,15.67
2015-12-31,34.44,$2.59,13.3
2015-09-30,33.34,$2.67,12.49
2015-06-30,29.41,$2.46,11.96
2015-03-31,32.59,$2.46,13.25
2014-12-31,35.27,$2.41,14.64
2014-09-30,29.04,$2.36,12.3
2014-06-30,30.66,$2.40,12.78
2014-03-31,30.59,$2.18,14.03
2013-12-31,26.58,$1.18,22.52
2013-09-30,25.32,$-3.73,0.0
2013-06-30,24.73,$-3.43,0.0
2013-03-31,24.86,$-2.95,0.0
2012-12-31,21.55,$-4.01,0.0
2012-09-30,22.62,$0.85,26.61
2012-06-30,22.94,$-0.07,0.0
2012-03-31,22.02,$0.24,91.73
2011-12-31,22.11,$2.47,8.95
2018-03-31,48.58,$2.66,18.26
2011-09-30,19.62,$2.25,8.72
2011-06-30,18.76,$0.37,50.7
2011-03-31,18.02,$0.44,40.95
2010-12-31,17.84,$0.58,30.77
2010-09-30,17.74,$0.71,24.98
2010-06-30,14.65,$2.45,5.98
2010-03-31,15.81,$2.58,6.13
2009-12-31,16.7,$2.81,5.94
